millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
2320,2,8.45,1.76,0.50,0.-15,0.91,0.70,4.87,22.74,93312.71,689.12
2354,2,8.17,2.9,0.97,0.21,0.29,-1.-6,4.87,7.91,93318.11,689.12
2388,2,9.66,0.89,3.8,0.-16,0.-63,0.-36,4.81,7.92,93314.85,689.12
2422,2,10.22,0.74,0.-23,-1.-86,-3.-55,0.-55,4.81,7.93,93315.92,689.32
2456,2,3.35,2.49,1.59,-1.-51,-5.-40,0.80,4.81,7.93,93311.57,689.3
2491,2,1.22,1.19,-4.-55,-2.-37,-6.-60,0.43,4.81,7.94,93315.91,689.42
2525,2,2.52,-1.-51,-8.-71,-3.-2,-4.-79,2.9,4.81,7.94,93311.55,690.9
2559,2,4.79,3.50,-6.-73,-4.-41,-3.-49,3.76,4.81,7.95,93307.20,689.22
2593,2,4.15,0.-9,-5.-20,-4.-42,-3.-68,4.78,4.75,7.95,93312.63,689.71
2627,2,2.61,2.63,-6.-20,-5.-28,-4.-43,4.53,4.81,7.96,93312.62,689.32
2661,2,3.65,1.65,-6.-68,-4.-59,-2.-47,4.59,4.81,7.96,93321.32,688.93
2695,2,8.28,-2.-72,-4.-7,-4.-5,0.28,4.17,4.81,7.97,93319.14,689.52
2729,2,7.1,-2.-28,-4.-10,-3.-34,0.-84,3.62,4.75,7.97,93320.22,689.13
2764,2,0.21,1.41,-9.-21,-2.-50,-1.-68,3.34,4.81,7.97,93323.48,689.13
2798,2,1.87,1.96,-11.-71,-3.-96,4.94,3.19,4.81,7.97,93312.60,688.55
2832,2,22.8,3.79,0.6,-2.-76,10.46,2.10,4.68,7.98,93320.21,689.3
2866,2,15.71,-4.-45,3.23,0.-36,1.3,2.76,4.75,7.98,93320.21,688.65
2900,2,18.43,-3.-89,0.-76,-1.-82,0.52,0.24,4.75,7.98,93316.95,688.74
2934,2,13.54,-1.-55,-6.-77,-2.-43,-1.-98,-2.-71,4.75,7.99,93322.39,687.97
2968,2,11.3,-1.-69,-4.-20,-1.-62,-6.-21,0.-88,4.75,7.98,93320.21,688.94
3003,2,9.76,-2.-40,-2.-64,0.56,-8.-31,1.0,4.75,7.98,93323.47,688.26
3037,2,14.55,-1.-16,-3.-46,0.16,0.36,-1.-75,4.68,7.98,93324.57,688.55
3071,2,8.34,0.24,-8.-26,0.34,0.17,-1.-6,4.75,7.97,93318.6,688.35
3105,2,5.2,0.-44,-6.-61,3.34,4.65,0.-82,4.68,7.96,93322.41,688.64
3139,2,13.16,4.18,0.67,3.95,9.0,3.44,4.68,7.96,93320.25,688.74
3173,2,16.23,-6.-45,0.57,3.2,5.28,3.39,4.68,7.95,93316.99,688.83
3207,2,12.36,-3.-87,-7.0,2.13,-2.-78,-1.-72,4.62,7.94,93313.75,688.74
3241,2,-2.-50,0.-31,-12.-30,0.-18,-6.-7,-3.-24,4.68,7.94,93322.43,688.74
3276,2,6.3,-5.-86,5.30,0.92,3.25,0.16,4.68,7.94,93319.17,688.74
3310,2,12.4,1.6,1.1,-2.-25,4.50,-1.-55,4.75,7.94,93323.52,689.3
3345,2,11.86,0.24,5.51,-4.0,5.18,2.0,4.68,7.94,93322.42,689.13
3379,2,8.1,-4.-59,5.51,0.-35,1.88,3.86,4.68,7.95,93314.82,688.64
3413,2,13.1,-3.-13,7.82,0.29,2.75,1.58,4.68,7.95,93316.99,689.32
3447,2,12.58,0.-67,9.0,0.33,0.98,0.-59,4.62,7.95,93323.50,688.26
3481,2,9.54,-2.-79,-7.-2,0.23,0.15,0.-65,4.68,7.97,93320.24,689.3
3516,2,18.80,-2.-11,-3.-65,0.-72,0.-82,0.-12,4.62,7.96,93318.6,689.3
3550,2,5.14,-2.-1,14.73,2.16,-4.-10,0.41,4.62,7.97,93325.66,688.93
3584,2,3.34,-13.-28,5.21,-1.-23,1.97,4.20,4.62,7.98,93318.4,689.32
3618,2,10.97,2.16,2.51,-1.-13,3.63,-1.-92,4.62,7.98,93322.39,688.74
3652,2,7.6,-3.-29,8.35,3.34,0.-60,0.29,4.62,7.99,93320.21,688.65
3686,2,3.87,-5.-91,11.70,5.63,0.0,1.70,4.62,7.99,93322.37,688.45
3720,2,10.66,-5.-95,12.70,4.63,1.80,1.19,4.56,8.0,93321.28,688.94
3754,2,9.65,-6.-80,9.2,5.79,-1.-43,0.41,4.62,8.0,93328.89,688.55
3789,2,4.46,-6.-57,0.82,6.13,-4.-97,1.10,4.62,8.1,93323.44,688.36
3823,2,12.13,-1.-47,3.77,3.90,0.13,2.35,4.62,8.1,93316.92,689.4
3857,2,10.51,-7.-26,-1.-52,2.74,-4.-99,2.11,4.62,8.1,93318.0,689.33
3891,2,3.15,-2.-31,-8.-81,0.94,-3.-56,-2.-45,4.62,8.2,93323.42,688.55
3925,2,10.27,2.54,6.81,0.99,0.1,-2.-20,4.62,8.2,93313.64,689.13
3959,2,8.11,3.74,-1.-88,0.-4,0.-59,0.-24,4.56,8.3,93321.25,689.23
3993,2,6.82,2.52,-6.-45,0.-69,0.82,0.10,4.56,8.2,93318.0,689.23
4027,2,13.87,1.95,5.58,2.30,1.2,-3.-28,4.56,8.1,93320.18,689.4
4062,2,10.5,-2.-67,4.68,3.96,-1.-76,0.38,4.56,8.0,93321.28,688.65
4096,2,9.48,-1.-70,3.20,3.30,0.30,0.-78,4.56,7.98,93314.77,688.55
4130,2,12.97,2.0,6.68,2.97,0.90,0.18,4.56,7.98,93318.5,688.84
4164,2,7.49,2.71,9.49,4.44,0.19,0.4,4.56,7.96,93316.97,689.3
4198,2,5.17,-1.-99,8.23,2.28,0.-48,2.27,4.62,7.97,93314.81,688.74
4232,2,7.44,0.71,-3.-35,1.14,2.83,0.-44,4.62,7.96,93324.60,688.74
4266,2,19.13,-10.-21,-6.-54,2.55,5.50,-4.-42,4.56,7.95,93315.89,688.64
4300,2,21.42,11.93,3.80,-1.-8,2.88,-2.-75,4.62,7.94,93314.82,688.84
4335,2,13.72,2.32,8.40,2.31,-1.-57,3.58,4.62,7.94,93317.0,689.32
4370,2,1.76,-2.-62,0.-30,0.75,-2.-11,0.-70,4.62,7.94,93324.62,688.64
4404,2,2.50,-7.-5,-5.-64,0.-70,1.2,-2.-16,4.62,7.92,93320.27,689.32
4438,2,9.9,-6.-33,1.21,-2.-66,2.42,0.-13,4.56,7.93,93317.1,689.32
4472,2,7.48,0.-51,3.77,-4.-59,-2.-93,2.62,4.62,7.93,93312.67,689.51
4506,2,7.76,3.13,0.-4,-3.-17,-1.-73,0.18,4.62,7.92,93323.53,688.83
4540,2,11.31,6.8,2.97,-2.-80,-1.-48,0.-48,4.62,7.92,93314.85,689.12
4575,2,5.80,5.56,3.74,-2.-45,-4.-80,0.53,4.68,7.93,93317.2,689.32
4609,2,6.63,3.16,4.70,-2.-2,-2.-97,0.46,4.56,7.93,93319.21,688.83
4643,2,7.5,2.82,5.19,-1.-46,-2.-50,0.-29,4.56,7.93,93323.55,688.64
4677,2,7.80,1.50,3.95,0.-65,-1.-32,0.-37,4.50,7.90,93323.56,689.22
4711,2,11.4,1.44,4.44,0.-47,1.56,0.-28,4.56,7.90,93321.39,688.73
4745,2,11.64,1.15,2.98,0.-54,0.31,0.27,4.56,7.89,93324.66,689.41
4779,2,9.29,0.59,0.46,0.-31,0.-79,0.-60,4.56,7.88,93318.15,689.2
4813,2,10.9,1.13,2.78,0.-44,0.-65,0.-52,4.62,7.87,93318.17,688.92
4848,2,10.30,3.60,3.52,0.-19,0.-94,0.-52,4.56,7.87,93317.8,689.12
4882,2,10.29,0.81,0.54,0.-4,0.-38,0.-38,4.56,7.86,93312.75,689.31
4916,2,10.49,2.41,5.84,0.-9,0.3,0.-72,4.50,7.87,93311.66,689.2
4950,2,8.27,1.5,4.79,1.50,0.-87,-1.-2,4.56,7.84,93322.54,688.73
4984,2,6.15,0.86,1.5,1.67,0.91,0.22,4.50,7.84,93323.64,688.83
5018,2,8.98,0.25,0.14,2.25,3.18,0.20,4.62,7.83,93322.55,688.15
5052,2,10.32,0.32,3.25,4.43,2.11,0.86,4.56,7.83,93323.64,688.82
5086,2,10.12,-2.-3,4.2,5.19,-2.-63,2.49,4.50,7.83,93317.13,688.34
5121,2,8.37,-2.-53,-2.0,2.70,-3.-12,1.0,4.50,7.81,93321.48,688.92
5155,2,9.79,0.-16,-1.-82,1.47,0.40,0.-3,4.50,7.81,93318.22,688.82
5189,2,10.35,0.-66,0.66,2.56,0.-57,0.64,4.50,7.81,93314.97,688.63
5223,2,9.36,0.42,1.48,2.40,-1.-43,0.91,4.50,7.80,93314.99,689.21
5257,2,9.30,-3.-26,-2.-44,1.28,-2.0,0.7,4.56,7.78,93317.17,689.30
5291,2,6.57,-1.-27,-4.-9,-1.-41,0.-32,-1.-62,4.50,7.77,93321.53,689.40
5325,2,9.4,0.34,-3.-13,-1.-4,1.78,0.6,4.56,7.76,93319.36,689.21
5359,2,6.27,-2.-7,1.45,0.-54,1.38,1.6,4.56,7.75,93321.54,689.49
5395,2,4.91,0.65,-2.-6,-2.-71,1.59,0.-86,4.56,7.75,93319.38,689.1
5429,2,9.6,-1.-42,-1.-55,-2.-57,4.4,0.-40,4.56,7.74,93317.21,689.1
5463,2,9.98,0.57,7.81,-2.-78,3.75,0.87,4.56,7.74,93322.65,689.1
5497,2,8.79,-2.-69,8.11,-2.-14,0.50,1.57,4.56,7.73,93324.82,688.72
5531,2,8.28,-7.-17,7.36,-2.-39,0.-39,0.54,4.56,7.73,93320.49,688.23
5565,2,12.92,-1.-92,7.70,-4.-14,2.48,-2.-53,4.56,7.72,93325.92,688.62
5599,2,15.2,7.74,14.83,-4.-55,3.66,-4.-16,4.56,7.71,93324.83,688.81
5633,2,12.42,8.11,15.8,-2.-75,0.83,-1.-69,4.56,7.71,93315.7,689.10
5668,2,10.19,-1.-15,13.97,1.53,-3.-1,2.11,4.50,7.71,93325.92,688.33
5702,2,5.94,-2.-23,-1.-83,1.39,-5.-41,0.-18,4.56,7.71,93331.36,689.1
5736,2,8.11,0.-84,0.1,1.71,-3.-27,-2.-97,4.56,7.71,93319.42,688.33
5770,2,6.34,-1.-19,0.-64,1.10,-6.-23,1.8,4.56,7.70,93321.60,688.14
5804,2,9.56,0.64,0.-96,-1.-1,-4.-54,0.81,4.50,7.70,93321.60,688.14
5838,2,10.39,-2.-19,0.91,-3.-64,-4.-18,1.8,4.50,7.69,93319.42,688.72
5872,2,7.0,-2.-35,-2.-96,-3.-95,-6.-14,-1.-74,4.50,7.69,93322.68,688.72
5907,2,6.31,1.25,-9.-39,-1.-69,-5.-13,-2.-6,4.50,7.69,93323.76,688.52
5941,2,6.43,1.60,-8.-3,0.7,0.94,-1.-2,4.56,7.70,93321.60,688.43
5975,2,7.24,3.18,-6.-83,-1.-23,4.17,1.8,4.50,7.69,93319.42,688.52
6009,2,16.0,0.-29,0.-43,0.-60,3.29,2.69,4.56,7.71,93317.24,688.72
6043,2,8.68,-1.-77,-4.-40,0.77,-4.-55,-1.-73,4.56,7.71,93327.2,689.20
6077,2,7.64,1.41,-4.-65,0.-91,0.-61,0.-78,4.50,7.71,93328.10,688.91
6111,2,8.39,1.39,-3.-30,-1.-53,-1.-31,-1.-2,4.56,7.72,93323.75,689.11
6145,2,4.80,2.52,-6.-66,-1.-61,0.-59,0.-15,4.56,7.72,93320.49,688.33
6180,2,6.59,3.5,-7.-30,-2.-18,1.66,0.16,4.56,7.73,93326.99,688.62
6214,2,8.85,2.91,-3.-36,-2.-40,3.53,1.1,4.50,7.74,93322.64,688.91
6248,2,9.63,6.33,0.16,-1.-16,1.47,0.-19,4.56,7.74,93321.54,689.1
6282,2,7.91,2.61,-2.-32,0.-9,1.0,0.94,4.50,7.74,93319.37,688.91
6316,2,9.41,1.70,-3.-15,-2.-13,1.50,0.35,4.50,7.75,93319.37,688.43
6350,2,8.52,2.43,-1.-11,-2.-92,0.73,1.40,4.56,7.76,93324.80,688.92
6384,2,9.44,2.77,0.-75,0.-69,0.-34,0.90,4.56,7.76,93323.71,688.53
6420,2,13.63,2.17,-1.-93,-1.-10,0.4,0.20,4.62,7.76,93320.45,688.62
6454,2,12.77,6.11,0.44,-2.-3,-1.-23,-1.-75,4.56,7.76,93317.18,688.62
6488,2,7.68,4.92,0.-98,0.-41,-1.-83,-1.-35,4.62,7.77,93324.78,689.21
6522,2,5.65,3.32,-1.0,0.-1,0.6,0.41,4.56,7.77,93315.0,688.92
6556,2,7.47,4.93,0.-59,0.54,1.97,1.98,4.62,7.78,93320.42,689.30
6590,2,12.70,-6.-95,0.-98,1.72,3.87,0.78,4.56,7.79,93320.42,688.5
6624,2,8.25,7.6,1.37,0.-82,0.9,1.0,4.50,7.79,93314.99,688.72
6658,2,10.87,0.-51,-5.-20,1.2,0.3,0.95,4.50,7.79,93317.15,688.82
6693,2,9.85,3.3,1.85,0.0,1.17,-1.-11,4.56,7.80,93324.75,688.24
6727,2,10.12,4.87,3.8,0.54,0.-27,0.-78,4.56,7.81,93320.41,688.34
6761,2,9.44,-1.-12,0.-20,0.62,0.-97,0.-26,4.56,7.80,93322.58,688.34
6795,2,8.64,3.50,1.76,0.9,0.-96,0.0,4.50,7.80,93326.92,688.24
6829,2,8.45,2.45,1.10,0.50,0.57,0.43,4.50,7.81,93325.84,688.44
6863,2,8.27,2.31,-1.-19,0.16,0.-81,0.33,4.50,7.81,93330.17,688.82
6897,2,12.74,3.78,3.75,0.15,0.-22,0.-21,4.56,7.81,93323.66,688.92
6931,2,7.12,2.2,0.-50,0.59,0.-75,0.1,4.50,7.81,93322.57,689.11
6966,2,9.4,2.18,-1.-39,0.0,0.-20,0.41,4.50,7.80,93325.84,688.63
7000,2,11.6,2.62,1.70,0.17,-1.-55,0.-61,4.56,7.80,93324.75,688.63
7034,2,7.76,2.20,-1.-46,0.64,-1.-81,0.-88,4.56,7.80,93320.41,688.92
7068,2,6.41,1.66,-1.-42,0.43,0.-80,0.-42,4.50,7.80,93324.75,688.15
7102,2,7.26,2.62,-2.-20,0.43,0.31,1.43,4.56,7.80,93319.33,688.72
7136,2,14.7,3.23,0.88,0.-3,1.26,0.77,4.56,7.79,93325.85,688.82
7170,2,10.44,3.86,0.-90,0.33,0.-73,0.-32,4.56,7.78,93318.25,688.63
7204,2,9.67,3.64,-2.-7,0.13,0.-49,0.-11,4.50,7.77,93325.86,688.72
7239,2,8.20,2.72,-1.-57,0.-43,0.-24,0.24,4.56,7.77,93319.34,688.24
7273,2,9.62,2.58,0.-55,0.-34,0.2,0.60,4.56,7.78,93318.27,688.34
7307,2,9.75,-1.-6,0.-13,0.31,0.-38,0.1,4.50,7.77,93318.27,688.72
7341,2,9.24,1.81,-3.-19,0.17,0.-25,0.37,4.56,7.76,93322.62,688.53
7375,2,10.59,2.57,0.-70,0.-28,0.2,0.43,4.56,7.77,93329.15,689.11
7409,2,9.26,1.84,0.-99,0.3,0.-79,0.11,4.56,7.75,93324.80,688.33
7444,2,8.91,1.30,-2.-33,0.39,0.-51,0.21,4.56,7.76,93317.19,688.33
7478,2,11.0,1.83,0.23,0.55,0.10,0.-24,4.50,7.75,93321.54,688.53
7513,2,9.63,1.51,-1.-75,0.56,0.-32,0.-45,4.50,7.74,93322.64,689.11
7547,2,7.87,1.63,-3.-60,0.4,0.-19,0.8,4.50,7.74,93319.39,688.72
7581,2,9.76,1.93,-2.-29,0.-39,0.18,0.41,4.56,7.74,93325.91,688.62
7615,2,11.30,1.97,0.24,0.37,0.-3,0.-70,4.50,7.72,93324.82,689.1
7649,2,8.48,0.53,-1.-45,0.83,0.-79,0.-98,4.50,7.72,93324.83,688.24
7683,2,8.82,2.67,-2.-89,0.45,0.-3,0.-51,4.50,7.72,93321.57,688.33
7717,2,10.17,3.40,-1.-51,0.-20,0.66,0.21,4.56,7.72,93323.75,688.72
7751,2,10.27,3.90,-2.-26,0.9,0.-18,0.-31,4.56,7.71,93318.33,688.43
7786,2,7.31,2.37,-4.-4,0.33,-1.-4,0.-10,4.56,7.70,93321.58,688.81
7820,2,10.7,2.50,-1.-48,0.31,0.72,0.38,4.50,7.70,93317.25,688.43
7854,2,7.60,0.23,-3.-32,0.25,0.-3,0.99,4.50,7.68,93320.52,688.81
7888,2,9.85,2.41,-1.-72,0.-22,0.42,0.63,4.50,7.68,93323.78,689.10
7922,2,11.16,2.25,0.-43,0.34,0.5,0.-1,4.56,7.67,93324.87,688.62
7956,2,10.7,1.93,-2.-22,0.51,0.-35,0.-32,4.56,7.67,93322.71,688.42
7990,2,6.21,1.23,-2.-42,0.9,0.-95,1.15,4.43,7.67,93322.71,688.91
8025,2,11.95,1.19,0.33,0.11,0.1,0.46,4.50,7.65,93328.14,688.71
8059,2,10.2,1.17,-1.-35,0.46,0.-84,0.-37,4.56,7.66,93322.71,688.91
8093,2,8.89,1.92,-3.-9,0.-2,0.-42,0.-3,4.50,7.65,93328.14,689.10
8127,2,10.26,2.34,-2.-5,0.-14,0.7,0.33,4.50,7.64,93323.82,689.10
8161,2,9.1,0.67,-2.-39,0.8,0.-57,0.21,4.50,7.65,93322.72,688.71
8195,2,8.48,0.76,-2.-78,0.-14,0.-32,0.10,4.50,7.64,93329.25,688.52
8229,2,9.93,-3.-16,-2.-51,0.-12,0.16,0.2,4.50,7.65,93330.32,688.23
8263,2,9.23,2.48,0.-56,0.12,0.-9,0.22,4.50,7.65,93320.56,688.33
8298,2,9.44,0.61,-2.-62,0.62,0.-27,0.-45,4.43,7.64,93320.56,688.52
8332,2,9.39,2.2,-2.-29,0.-10,0.-11,0.-20,4.43,7.64,93325.99,688.42
8366,2,10.96,1.66,-1.-24,0.17,0.20,0.-7,4.50,7.64,93328.16,688.23
8400,2,8.60,1.58,-3.-69,0.6,0.-46,0.-38,4.43,7.63,93323.82,688.52
8434,2,9.39,-3.-2,-2.-86,-1.-10,0.-75,0.-51,4.56,7.64,93324.90,688.81
8469,2,9.26,2.38,-2.-39,0.-8,0.69,0.37,4.43,7.62,93320.57,688.52
8503,2,9.62,1.47,-3.-8,0.-2,0.43,0.25,4.43,7.63,93319.46,688.61
8537,2,9.53,1.72,-2.-23,0.-27,0.-27,0.-10,4.43,7.63,93324.90,688.42
8572,2,8.83,1.48,-2.-37,0.-31,0.-19,0.-8,4.43,7.63,93322.73,689.0
8606,2,8.99,1.52,-3.-1,0.-75,0.29,0.68,4.43,7.64,93319.47,688.23
8640,2,11.54,1.21,0.-91,0.-83,0.62,0.54,4.43,7.63,93319.47,688.81
8674,2,9.13,1.55,0.-66,0.-55,0.-9,0.23,4.43,7.63,93326.0,688.81
8708,2,9.37,0.79,-2.-5,0.-11,0.50,0.58,4.37,7.63,93326.0,688.32
8742,2,9.48,0.-51,-4.-85,0.-40,0.38,0.41,4.50,7.63,93330.34,688.42
8776,2,9.51,1.34,0.-14,0.-83,0.-16,0.0,4.37,7.63,93322.73,688.81
8810,2,11.57,0.-66,1.74,0.70,0.-13,0.-43,4.43,7.63,93322.74,688.13
8845,2,8.1,0.59,-2.-53,1.46,0.-92,0.-78,4.37,7.62,93322.73,688.42
8879,2,9.59,2.57,-4.-82,0.67,0.61,0.6,4.37,7.62,93311.86,688.81
8913,2,5.46,2.10,-4.-33,0.-63,0.68,0.47,4.50,7.64,93317.30,689.0
8947,2,11.12,-1.-38,1.91,0.-1,0.5,0.61,4.37,7.64,93319.47,688.42
8981,2,12.0,0.-49,2.17,0.54,0.-40,-1.-41,4.31,7.64,93321.65,688.81
9015,2,6.81,2.49,-4.-56,0.87,0.-87,0.-50,4.37,7.64,93327.8,689.0
9049,2,9.38,3.68,-4.-11,0.2,0.13,0.38,4.31,7.63,93317.29,688.33
9083,2,11.80,2.88,0.-75,0.-30,0.48,0.-12,4.37,7.63,93318.39,688.81
9118,2,10.68,1.20,0.36,0.32,0.-48,0.-88,4.37,7.63,93323.82,688.81
9152,2,8.64,1.54,-1.-98,0.50,0.-46,0.-67,4.31,7.64,93307.53,688.4
9186,2,8.33,2.47,-3.-74,0.25,0.-14,0.-19,4.31,7.64,93318.39,688.91
9220,2,11.10,1.28,0.-10,0.0,0.56,0.10,4.37,7.64,93322.73,688.23
9254,2,8.49,0.0,-1.-65,0.63,0.-57,0.-5,4.43,7.64,93321.64,688.81
9288,2,9.86,0.43,-2.-25,0.33,0.-58,0.-37,4.37,7.64,93322.73,689.20
9322,2,9.1,1.64,-2.-83,0.-64,0.-11,0.67,4.31,7.64,93322.72,688.32
9357,2,11.49,0.42,1.71,0.20,0.34,0.14,4.37,7.65,93320.56,688.91
9391,2,7.89,0.16,-3.-23,1.9,-1.-38,0.-87,4.37,7.63,93319.46,688.62
9425,2,9.57,3.2,-2.-88,0.31,0.-67,0.-78,4.37,7.63,93323.82,688.23
9459,2,8.91,3.8,-3.-7,0.3,0.4,0.-15,4.37,7.64,93320.56,688.71
9494,2,9.24,2.33,-3.0,0.0,0.10,0.0,4.37,7.64,93322.73,688.91
9528,2,10.99,-6.-6,1.87,0.-38,0.-19,0.1,4.37,7.63,93324.90,688.23
9562,2,7.92,2.63,-3.-43,0.19,0.-30,0.-10,4.43,7.63,93320.57,688.52
9596,2,10.88,2.3,-1.-36,0.21,0.59,0.12,4.31,7.62,93324.91,689.10
9631,2,9.4,2.2,-2.-19,0.0,0.-25,0.-4,4.37,7.62,93319.48,688.90
9665,2,9.24,2.5,-2.-43,0.30,0.-11,0.-18,4.25,7.60,93318.40,689.10
9699,2,8.73,2.10,-3.-8,0.14,0.-26,0.-27,4.37,7.60,93322.75,689.0
9733,2,9.56,2.63,-2.-84,0.-10,0.-8,0.0,4.37,7.62,93316.23,688.90
9767,2,9.91,2.24,-2.-6,0.7,0.10,0.-2,4.37,7.60,93323.83,688.42
9801,2,8.96,2.30,-3.-9,0.28,0.-31,0.-30,4.31,7.61,93326.1,688.3
9835,2,8.16,1.85,-3.-66,0.8,0.35,0.28,4.31,7.61,93318.40,688.81
9869,2,9.61,2.29,-1.-82,0.19,0.-4,0.8,4.25,7.61,93316.22,688.61
9904,2,10.38,2.71,-2.-4,0.31,0.-20,0.6,4.25,7.61,93320.58,688.81
9938,2,10.46,2.5,-1.-67,0.-17,0.-6,0.20,4.25,7.60,93324.92,688.90
9972,2,9.34,2.52,-2.-31,0.-32,0.-23,0.12,4.25,7.60,93323.85,688.90
10006,2,9.48,2.32,-2.-24,0.-14,0.6,0.31,4.31,7.61,93327.10,688.61
10049,2,8.98,1.78,-3.-7,0.-2,0.4,0.19,4.31,7.60,93322.76,688.90
10083,2,9.8,2.34,-2.-90,0.-38,0.-11,0.24,4.25,7.60,93320.59,688.61
10117,2,10.25,2.73,-2.-93,0.-99,0.47,1.8,4.31,7.60,93323.85,688.32
10151,2,10.68,0.57,0.-45,0.-74,0.95,1.6,4.25,7.60,93318.42,688.71
10187,2,11.74,0.58,0.0,0.15,0.-13,0.-10,4.31,7.59,93319.50,688.81
10221,2,8.77,1.14,-2.-44,0.33,0.-86,0.-69,4.31,7.60,93318.42,688.52
10255,2,8.90,1.94,-2.-79,0.-8,0.23,0.24,4.31,7.60,93320.59,688.61
10289,2,10.73,1.84,-1.-34,0.0,0.29,0.18,4.18,7.60,93321.67,688.61
10323,2,8.43,0.13,-1.-61,0.51,-1.-48,0.-70,4.25,7.60,93318.42,688.61
10357,2,5.81,0.25,-3.-29,0.83,-2.-55,0.-6,4.25,7.60,93320.59,688.61
10391,2,8.97,1.21,-4.-79,0.-23,-1.-53,0.36,4.25,7.60,93319.50,688.13
10425,2,12.18,1.38,-3.-92,0.-12,0.-72,0.-1,4.25,7.60,93322.76,688.52
10460,2,8.10,3.23,-4.-68,0.-14,0.-73,0.16,4.31,7.60,93324.93,688.90
10495,2,8.42,2.91,-4.-46,0.-17,0.-8,0.75,4.25,7.59,93322.76,688.90
10529,2,8.35,1.92,-5.-83,0.-38,0.8,1.12,4.25,7.59,93321.67,688.71
10563,2,7.55,1.46,-5.-37,0.-69,0.32,1.46,4.31,7.60,93319.50,688.52
10597,2,9.40,1.34,-4.-36,0.-82,0.64,0.80,4.25,7.60,93322.76,689.10
10631,2,5.82,2.67,-7.-57,0.16,2.29,0.61,4.18,7.60,93327.10,688.71
10665,2,6.91,0.82,-6.-3,0.48,4.94,1.4,4.25,7.60,93320.60,689.19
10701,2,7.30,-7.-9,0.56,-1.-50,0.-88,1.86,4.18,7.60,93318.42,688.90
10735,2,7.20,3.7,16.30,4.50,0.-98,-3.-69,4.25,7.59,93321.68,689.0
10769,2,4.52,-2.-50,0.-12,1.71,-8.-90,-3.-27,4.12,7.58,93318.42,689.39
10803,2,5.15,0.-78,-3.-85,1.7,-7.-6,-5.-54,4.18,7.58,93323.86,689.19
10837,2,6.23,2.61,-8.-26,2.23,-4.-6,-5.-99,4.18,7.57,93321.69,689.48
10871,2,3.39,4.17,-11.-59,2.22,0.-41,-3.-97,4.18,7.56,93321.70,688.71
10905,2,13.41,3.30,-5.-14,0.86,1.43,-2.-37,4.18,7.57,93317.35,688.90
10939,2,8.47,9.86,-7.-77,-2.-24,0.81,-1.-99,4.25,7.56,93322.78,688.61
10974,2,4.86,5.57,0.-68,-2.-5,0.69,0.-8,4.25,7.56,93320.61,688.90
11008,2,8.78,7.54,-23.-86,1.81,2.1,2.39,4.18,7.57,93318.43,688.90
11042,2,7.13,0.54,-5.-15,-1.-56,1.97,-1.-15,4.25,7.57,93324.96,688.71
11076,2,7.69,5.43,-6.-81,0.-92,0.44,0.43,4.25,7.57,93323.86,689.0
11110,2,6.38,2.62,-6.-33,0.78,4.25,2.7,4.25,7.58,93327.12,689.9
11144,2,9.0,5.16,-4.-21,1.24,4.90,2.69,4.25,7.58,93326.3,688.32
11178,2,4.53,0.87,0.-94,0.75,5.95,2.55,4.25,7.58,93319.52,687.93
11213,2,0.-42,-1.-3,1.45,-2.-62,5.9,-4.-35,4.18,7.58,93326.3,688.42
11247,2,9.98,11.4,-13.-52,1.19,-9.-1,5.0,4.25,7.58,93315.17,688.80
11281,2,13.91,-3.-22,1.1,0.-2,1.72,5.32,4.18,7.58,93318.42,688.42
11315,2,9.6,1.79,0.18,0.53,0.-40,-1.-54,4.18,7.58,93318.42,688.32
11349,2,7.57,2.76,0.-93,0.4,0.-16,0.-96,4.18,7.58,93320.60,688.71
11383,2,10.63,1.68,0.-9,0.5,0.-7,0.20,4.18,7.57,93327.12,688.90
11417,2,9.60,2.32,0.-9,0.8,0.-11,0.-16,4.25,7.58,93324.95,688.3
11451,2,10.18,1.84,0.14,0.14,0.-12,0.-26,4.12,7.58,93324.94,687.93
11486,2,9.81,2.84,0.17,0.54,0.-14,0.-82,4.18,7.58,93322.78,688.42
11521,2,9.15,2.79,0.-93,0.75,0.-10,0.-81,4.25,7.58,93330.38,689.9
11555,2,9.11,3.32,0.41,0.-17,0.7,0.15,4.18,7.58,93321.68,687.93
11589,2,9.77,2.33,0.-10,0.-11,0.-5,0.40,4.25,7.58,93327.11,687.93
11623,2,9.92,2.31,0.0,0.-3,0.-8,0.2,4.25,7.59,93328.21,688.22
11657,2,9.64,2.46,0.1,0.0,0.-10,0.-15,4.18,7.58,93326.3,688.61
11691,2,9.50,2.64,0.0,0.7,0.-11,0.-20,4.18,7.59,93323.85,688.42
11725,2,9.51,2.73,0.-14,0.9,0.-11,0.-9,4.25,7.58,93321.68,688.22
11760,2,9.61,2.68,0.-4,0.6,0.-10,0.-11,4.25,7.58,93327.12,688.90
11794,2,9.60,2.67,0.-4,0.7,0.-10,0.-15,4.18,7.58,93316.26,687.93
11828,2,9.26,2.90,0.-29,0.4,0.-9,0.-9,4.18,7.58,93323.86,688.61
