millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
79463,2,0.-5,0.65,10.56,0.17,0.-19,0.-5,2.37,6.21,93323.92,688.51
79497,2,0.94,0.60,9.82,0.17,0.-10,0.-3,2.43,6.21,93325.0,687.74
79531,2,0.90,0.46,9.90,0.15,0.2,0.-3,2.37,6.21,93321.75,688.99
79565,2,0.42,0.36,9.94,0.13,0.-12,0.-3,2.37,6.22,93322.84,688.41
79599,2,0.-13,0.88,9.73,0.10,0.-14,0.-2,2.43,6.22,93323.92,688.12
79634,2,0.43,1.8,9.52,0.12,0.21,0.2,2.37,6.21,93322.84,688.61
79668,2,0.56,0.89,9.44,0.11,0.27,0.2,2.37,6.21,93323.92,688.32
79702,2,0.60,0.85,10.17,0.6,0.10,0.0,2.37,6.22,93321.75,688.70
79736,2,0.67,0.78,10.51,0.0,0.-23,0.-1,2.50,6.22,93325.0,688.3
79770,2,0.4,1.4,10.4,0.-2,0.-31,0.-1,2.37,6.21,93323.92,688.61
79804,2,0.41,0.98,9.47,0.-3,0.-37,0.2,2.37,6.22,93323.92,688.32
79838,2,0.35,0.76,9.10,0.-5,0.-21,0.0,2.43,6.21,93330.42,688.32
79872,2,0.66,0.75,10.13,0.-6,0.10,0.3,2.43,6.21,93322.83,688.90
79907,2,1.1,0.60,10.95,0.-1,0.0,0.-1,2.43,6.21,93323.92,688.12
79941,2,0.7,0.69,11.3,0.7,0.-5,0.-10,2.37,6.21,93327.17,688.61
79975,2,0.28,0.66,10.43,0.14,0.-13,0.-7,2.37,6.21,93325.0,688.32
80009,2,0.-2,0.62,9.36,0.16,0.-14,0.-4,2.37,6.22,93326.8,688.12
80043,2,0.16,0.79,9.78,0.12,0.-4,0.-2,2.43,6.21,93327.16,688.12
80078,2,0.81,0.69,10.6,0.9,0.-12,0.-3,2.37,6.21,93323.91,688.90
80112,2,0.22,0.72,10.15,0.7,0.-19,0.-4,2.37,6.21,93321.75,688.32
80146,2,0.50,0.81,9.97,0.7,0.-19,0.-3,2.37,6.21,93322.83,687.84
80190,2,0.44,0.85,9.97,0.4,0.-20,0.-3,2.37,6.20,93322.82,688.51
80224,2,0.92,0.66,9.85,0.3,0.-31,0.-2,2.37,6.20,93329.33,688.22
80258,2,0.66,1.1,9.78,0.3,0.-15,0.-2,2.43,6.21,93327.16,688.70
80292,2,0.46,0.94,10.15,0.4,0.-13,0.-3,2.37,6.20,93319.57,688.51
80326,2,0.75,1.20,10.3,0.6,0.-17,0.-4,2.31,6.20,93332.58,688.32
80360,2,0.90,1.1,9.93,0.9,0.-20,0.-4,2.31,6.20,93325.0,688.12
80394,2,0.62,0.96,10.13,0.8,0.-34,0.0,2.37,6.21,93325.0,688.41
80428,2,1.23,1.1,10.37,0.5,0.-61,0.2,2.31,6.22,93327.16,688.32
80464,2,1.56,0.88,9.86,0.3,0.-59,0.1,2.31,6.20,93327.16,688.70
80498,2,0.54,0.97,10.21,0.1,0.-49,0.1,2.37,6.21,93319.58,688.41
80532,2,1.76,0.85,10.0,0.2,0.-63,0.5,2.31,6.21,93320.66,688.32
80566,2,1.28,0.66,9.38,0.4,0.-32,0.4,2.43,6.20,93316.33,688.61
80600,2,1.30,0.78,9.60,0.4,0.-27,0.4,2.43,6.21,93321.75,688.51
80634,2,1.81,0.85,9.82,0.7,0.-40,0.2,2.37,6.21,93323.91,688.32
80668,2,2.15,0.88,9.94,0.15,0.-21,0.-5,2.43,6.20,93322.83,688.32
80702,2,1.71,0.88,9.44,0.20,0.-17,0.-8,2.37,6.21,93323.92,688.70
80737,2,1.69,0.74,9.96,0.18,0.-27,0.-7,2.37,6.20,93318.49,688.80
80771,2,2.4,1.18,9.70,0.16,0.-18,0.-6,2.37,6.20,93321.75,688.3
80805,2,2.17,1.12,10.33,0.13,0.-22,0.-6,2.43,6.20,93327.16,688.12
