PNUT_time,PNUT_alt,PNUT_velocity,PNUT_temp,PNUT_voltge
41.25,-3,-0,50.13,4.17
41.30,-3,-0,50.13,4.17
41.35,-3,-0,50.11,4.17
41.40,-4,-0,50.13,4.17
41.45,-3,-0,50.13,4.17
41.50,-3,0,50.13,4.17
41.55,-3,0,50.13,4.17
41.60,-3,0,50.13,4.17
41.65,-3,0,50.13,4.17
41.70,-3,0,50.13,4.17
41.75,-3,0,50.13,4.17
41.80,-3,0,50.13,4.17
41.85,-4,0,50.13,4.17
41.90,-3,0,50.13,4.17
41.95,-3,0,50.11,4.17
42.00,-3,0,50.11,4.17
42.05,-2,0,50.11,4.17
42.10,-3,0,50.13,4.17
42.15,-2,0,50.11,4.17
42.20,-3,-0,50.11,4.17
42.25,-3,-0,50.11,4.17
42.30,-3,0,50.11,4.17
42.35,-3,0,50.13,4.17
42.40,-3,0,50.11,4.17
42.45,-3,0,50.11,4.17
42.50,-3,-0,50.11,4.17
42.55,-3,0,50.11,4.17
42.60,-2,0,50.11,4.17
42.65,-3,0,50.13,4.17
42.70,-3,0,50.11,4.17
42.75,-3,0,50.11,4.17
42.80,-2,0,50.13,4.17
42.85,-2,0,50.11,4.17
42.90,-3,0,50.11,4.17
42.95,-2,0,50.11,4.17
43.00,-3,0,50.11,4.17
43.05,-2,-0,50.11,4.17
43.10,-3,-0,50.11,4.17
43.15,-3,-0,50.11,4.17
43.20,-3,-0,50.11,4.17
43.25,-2,0,50.11,4.17
43.30,-4,0,50.13,4.17
43.35,-3,0,50.11,4.17
43.40,-3,0,50.11,4.17
43.45,-4,0,50.11,4.17
43.50,-3,0,50.11,4.17
43.55,-2,0,50.11,4.17
43.60,-3,0,50.11,4.17
43.65,-3,0,50.11,4.17
43.70,-3,-0,50.11,4.17
43.75,-3,-0,50.11,4.17
43.80,-3,-0,50.11,4.17
43.85,-3,-0,50.11,4.17
43.90,-3,-0,50.11,4.17
43.95,-2,0,50.11,4.17
44.00,-3,0,50.11,4.17
44.05,-3,0,50.11,4.17
44.10,-3,0,50.11,4.17
44.15,-3,0,50.09,4.17
44.20,-3,0,50.11,4.17
44.25,-3,0,50.11,4.17
44.30,-2,0,50.11,4.17
44.35,-3,0,50.11,4.17
44.40,-2,0,50.09,4.17
44.45,-2,0,50.09,4.17
44.50,-3,0,50.11,4.17
44.55,-3,0,50.11,4.17
44.60,-2,0,50.09,4.17
44.65,-3,0,50.11,4.17
44.70,-3,0,50.11,4.17
44.75,-3,0,50.11,4.17
44.80,-2,0,50.09,4.17
44.85,-3,1,50.09,4.17
44.90,-2,1,50.09,4.17
44.95,-2,1,50.09,4.17
45.00,-3,1,50.11,4.17
45.05,-2,1,50.11,4.17
45.10,-2,1,50.09,4.17
45.15,-3,1,50.11,4.17
45.20,-2,-0,50.11,4.17
45.25,-2,0,50.09,4.17
45.30,-3,0,50.09,4.17
45.35,-2,-1,50.09,4.17
45.40,-2,-1,50.11,4.17
45.45,-3,-1,50.09,4.17
45.50,-2,0,50.11,4.17
45.55,-3,0,50.09,4.17
45.60,-3,0,50.09,4.17
45.65,-2,0,50.09,4.17
45.70,-4,0,50.09,4.17
45.75,-2,0,50.09,4.17
45.80,-3,0,50.09,4.17
45.85,-3,0,50.09,4.17
45.90,-3,0,50.09,4.17
45.95,-2,0,50.09,4.17
