millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,Raw_IMU_accel_X,Raw_IMU_accel_Y,Raw_IMU_accel_Z,Raw_IMU_mag_X,Raw_IMU_mag_Y,Raw_IMU_mag_Z,Raw_IMU_gyro_X,Raw_IMU_gyro_Y,Raw_IMU_gyro_Z,Raw_IMU_temp,BARO_temp,BARO_press,BARO_alt,Raw_BARO_temp,Raw_BARO_press,Raw_BARO_alt,Velocity_inte,Velocity_diff,Velocity_est,Est_apogee,Battery_voltage,Z_accel_times_burnoutMass
4135,2,4135,44,0.5,0.534,0.427,37.611,-9.570,33.843,0.13,0.36,0.9,-753.400,0.35,0.509,0.449,38.102,-9.836,33.615,0.12,0.39,0.11,-747.0,5.243,91257.750,873.774,5.247,91262.382,873.851,-18.883,0.0,1.975,-72.840,3.789,0.262
4171,2,4171,36,0.11,0.559,0.440,37.623,-9.637,33.805,0.11,0.38,0.8,-753.400,0.0,0.567,0.485,37.752,-9.777,33.601,0.7,0.44,0.4,-747.0,5.249,91257.851,873.721,5.261,91264.234,873.768,-34.515,0.1,2.56,-71.276,3.796,0.270
4211,2,4211,40,0.27,0.542,0.430,37.562,-9.599,33.849,0.10,0.38,0.8,-753.400,0.64,0.524,0.327,37.342,-9.558,34.478,0.16,0.34,0.9,-747.0,5.255,91259.62,873.854,5.275,91255.85,873.779,-51.940,0.3,1.883,-74.682,3.796,0.264
4247,2,4247,36,0.1,0.509,0.439,37.529,-9.611,33.902,0.11,0.37,0.8,-747.0,0.50,0.445,0.442,37.109,-9.383,33.995,0.12,0.35,0.10,-747.0,5.263,91258.476,873.866,5.280,91253.890,873.996,-67.597,0.0,1.988,-72.491,3.796,0.269
4286,2,4286,39,0.28,0.594,0.401,37.483,-9.514,33.992,0.11,0.37,0.8,-747.0,0.165,0.926,0.305,37.109,-9.17,34.273,0.10,0.31,0.75,-747.0,5.270,91258.585,873.799,5.289,91257.335,873.600,-83.999,0.1,2.72,-70.893,3.802,0.246
4323,2,4323,37,0.30,0.592,0.417,37.372,-9.424,34.74,0.12,0.37,0.8,-747.0,0.28,0.502,0.528,37.547,-9.383,34.25,0.15,0.39,0.10,-747.0,5.281,91257.546,873.789,5.298,91257.203,873.804,-99.162,0.0,2.9,-72.146,3.802,0.256
4360,2,4360,37,0.45,0.572,0.432,37.152,-9.394,34.130,0.12,0.36,0.6,-747.0,0.78,0.466,0.556,36.655,-9.631,33.878,0.6,0.41,0.14,-747.0,5.289,91257.679,873.878,5.303,91264.890,874.213,-114.882,0.2,1.918,-73.932,3.796,0.264
4399,2,4399,39,0.21,0.509,0.558,37.240,-9.254,34.22,0.11,0.39,0.6,-747.0,0.57,0.208,0.958,37.781,-8.857,33.937,0.11,0.47,0.5,-747.0,5.295,91258.750,873.905,5.308,91260.382,873.913,-134.196,0.0,1.974,-72.752,3.796,0.342
4436,2,4436,37,0.1,0.429,0.459,37.211,-9.277,33.998,0.12,0.40,0.7,-747.0,0.165,0.43,0.53,36.962,-9.500,33.878,0.19,0.40,0.5,-747.0,5.300,91260.492,873.768,5.303,91262.632,873.311,-153.23,0.3,2.158,-69.281,3.796,0.281
4475,2,4475,39,0.127,0.373,0.488,37.319,-9.289,33.893,0.9,0.38,0.6,-747.0,0.466,0.646,0.449,37.649,-9.76,33.747,0.3,0.21,0.2,-747.0,5.303,91261.546,873.790,5.303,91262.632,873.708,-171.497,0.0,1.978,-72.770,3.796,0.299
4512,2,4512,37,0.156,0.363,0.546,37.430,-9.310,33.876,0.10,0.36,0.6,-747.0,0.172,0.452,0.822,38.102,-9.485,33.937,0.20,0.32,0.10,-747.0,5.304,91262.390,873.732,5.303,91261.437,873.516,-190.644,0.1,2.61,-71.180,3.796,0.335
4551,2,4551,39,0.206,0.376,0.502,37.605,-9.266,33.911,0.12,0.35,0.5,-747.0,0.172,0.531,0.334,37.532,-9.412,34.54,0.12,0.35,0.6,-747.0,5.305,91261.273,873.675,5.308,91259.320,873.925,-211.105,0.1,2.61,-71.242,3.796,0.308
4588,2,4588,37,0.192,0.435,0.396,37.570,-9.383,33.984,0.10,0.32,0.5,-747.0,0.14,0.502,0.427,37.605,-9.441,34.302,0.4,0.34,0.7,-747.0,5.305,91261.937,873.655,5.308,91263.695,873.816,-227.728,0.0,2.19,-72.80,3.796,0.242
4625,2,4625,37,0.163,0.555,0.505,37.728,-9.336,33.998,0.10,0.32,0.6,-747.0,0.21,0.646,0.492,37.752,-9.266,33.952,0.17,0.37,0.9,-747.0,5.305,91261.460,873.819,5.303,91260.242,874.130,-244.405,0.4,1.859,-75.254,3.796,0.309
4668,2,4668,43,0.54,0.495,0.462,37.743,-9.391,34.66,0.13,0.35,0.8,-747.0,0.78,0.344,0.233,37.722,-9.353,34.83,0.12,0.38,0.8,-747.0,5.306,91261.890,873.761,5.308,91264.757,873.420,-265.205,0.1,2.61,-71.153,3.796,0.283
4704,2,4704,36,0.17,0.516,0.387,37.600,-9.406,34.89,0.10,0.37,0.8,-747.0,0.14,0.559,0.449,37.386,-9.558,34.54,0.7,0.39,0.9,-747.0,5.307,91263.0,873.886,5.308,91267.7,874.141,-280.501,0.3,1.888,-74.550,3.796,0.237
4743,2,4743,39,0.35,0.499,0.420,37.673,-9.371,34.98,0.10,0.37,0.8,-747.0,0.93,0.445,0.499,37.898,-9.237,34.98,0.13,0.35,0.6,-747.0,5.308,91263.906,873.865,5.312,91263.828,873.816,-296.259,0.0,2.22,-71.819,3.796,0.257
4779,2,4779,36,0.27,0.485,0.420,37.757,-9.318,34.45,0.12,0.39,0.7,-747.0,0.28,0.430,0.427,38.29,-9.178,34.39,0.11,0.44,0.6,-747.0,5.308,91262.765,873.949,5.308,91257.992,874.237,-311.399,0.2,1.922,-73.781,3.796,0.257
4818,2,4818,39,0.37,0.469,0.426,37.755,-9.374,34.16,0.10,0.38,0.6,-747.0,0.28,0.567,0.521,37.737,-9.543,33.805,0.9,0.32,0.1,-747.0,5.310,91262.125,873.706,5.317,91257.70,872.916,-327.913,0.6,2.320,-66.430,3.796,0.261
4855,2,4855,37,0.14,0.499,0.450,37.641,-9.307,33.987,0.11,0.37,0.5,-747.0,0.35,0.495,0.355,37.152,-9.17,33.937,0.14,0.36,0.6,-747.0,5.310,91261.226,873.766,5.308,91260.242,873.721,-344.138,0.1,1.943,-73.528,3.796,0.276
4892,2,4892,37,0.11,0.492,0.417,37.687,-9.222,33.992,0.10,0.37,0.5,-747.0,0.0,0.524,0.284,37.620,-9.134,34.83,0.4,0.38,0.5,-747.0,5.311,91258.765,873.764,5.312,91254.679,874.130,-360.203,0.0,2.2,-72.327,3.796,0.256
4930,2,4930,38,0.25,0.512,0.440,37.705,-9.289,33.998,0.9,0.38,0.5,-747.0,0.93,0.545,0.614,37.985,-9.573,34.127,0.5,0.41,0.8,-747.0,5.310,91257.382,873.807,5.308,91256.929,874.33,-376.512,0.1,1.958,-73.178,3.802,0.270
4967,2,4967,37,0.22,0.525,0.462,37.690,-9.315,33.940,0.9,0.37,0.5,-747.0,0.14,0.495,0.535,37.956,-9.310,33.747,0.14,0.40,0.7,-747.0,5.312,91257.828,873.704,5.317,91260.242,873.721,-393.215,0.2,2.115,-70.170,3.796,0.283
5006,2,5006,39,0.33,0.501,0.443,37.752,-9.315,33.846,0.9,0.39,0.6,-747.0,0.21,0.445,0.427,38.44,-9.543,33.338,0.8,0.42,0.5,-747.0,5.311,91258.265,873.865,5.312,91259.187,873.721,-410.877,0.4,1.861,-75.171,3.796,0.272
5043,2,5043,37,0.30,0.522,0.467,37.904,-9.427,33.864,0.8,0.39,0.6,-747.0,0.21,0.602,0.477,37.912,-9.573,34.25,0.11,0.36,0.7,-747.0,5.312,91257.601,873.927,5.312,91256.929,874.33,-427.739,0.1,1.941,-73.415,3.802,0.286
5082,2,5082,39,0.30,0.512,0.472,37.909,-9.397,33.908,0.10,0.39,0.7,-747.0,0.0,0.473,0.305,37.649,-8.988,34.302,0.11,0.38,0.10,-747.0,5.313,91259.398,873.848,5.317,91263.695,873.733,-446.73,0.2,2.86,-70.588,3.796,0.289
5119,2,5119,37,0.1,0.491,0.424,37.945,-9.339,33.908,0.10,0.38,0.7,-747.0,0.64,0.437,0.377,38.161,-9.280,34.127,0.7,0.36,0.8,-747.0,5.313,91261.171,873.867,5.308,91265.812,874.130,-462.670,0.0,1.981,-72.650,3.802,0.260
5157,2,5157,38,0.1,0.506,0.411,37.863,-9.505,34.7,0.10,0.37,0.7,-747.0,0.28,0.574,0.470,37.547,-10.143,34.244,0.10,0.35,0.5,-747.0,5.312,91261.625,873.908,5.312,91262.500,873.925,-478.569,0.1,1.960,-73.25,3.802,0.252
5207,2,5207,50,0.2,0.536,0.391,37.562,-9.505,34.162,0.10,0.37,0.8,-747.0,0.28,0.595,0.327,36.539,-9.543,34.112,0.10,0.39,0.9,-747.0,5.313,91262.546,873.867,5.317,91263.828,873.516,-498.664,0.0,2.42,-71.415,3.802,0.240
5243,2,5243,36,0.4,0.513,0.381,37.532,-9.605,34.288,0.10,0.36,0.8,-747.0,0.28,0.488,0.427,37.766,-10.70,34.653,0.12,0.32,0.8,-747.0,5.311,91262.125,873.846,5.303,91254.812,873.925,-512.590,0.0,2.22,-71.842,3.809,0.234
5283,2,5283,40,0.21,0.519,0.403,37.512,-9.657,34.270,0.10,0.36,0.8,-747.0,0.86,0.502,0.413,37.547,-9.251,34.215,0.10,0.38,0.9,-747.0,5.308,91261.250,873.903,5.303,91259.320,874.21,-528.293,0.1,1.945,-73.347,3.809,0.247
5319,2,5319,36,0.38,0.512,0.388,37.360,-9.766,34.250,0.11,0.37,0.7,-747.0,0.21,0.401,0.305,37.401,-9.821,34.25,0.10,0.43,0.3,-747.0,5.308,91259.265,873.862,5.308,91255.875,873.925,-542.554,0.1,2.42,-71.422,3.809,0.238
5358,2,5358,39,0.41,0.532,0.364,37.380,-9.669,34.104,0.11,0.38,0.7,-747.0,0.43,0.674,0.348,37.649,-9.660,33.513,0.11,0.38,0.8,-747.0,5.308,91260.164,873.819,5.312,91267.7,873.708,-557.249,0.1,2.45,-71.411,3.815,0.223
5395,2,5395,37,0.40,0.519,0.378,37.717,-9.669,34.159,0.11,0.37,0.7,-747.0,0.21,0.531,0.399,38.219,-9.543,34.390,0.11,0.37,0.9,-747.0,5.308,91259.921,873.862,5.317,91262.632,873.733,-571.4,0.1,1.958,-73.120,3.815,0.232
5431,2,5431,36,0.34,0.546,0.373,37.784,-9.470,33.992,0.12,0.39,0.7,-747.0,0.0,0.624,0.399,38.102,-9.76,33.820,0.17,0.37,0.9,-747.0,5.308,91261.460,873.862,5.303,91262.500,873.925,-584.542,0.0,2.0,-72.269,3.815,0.228
5471,2,5471,40,0.22,0.518,0.387,37.731,-9.526,33.969,0.11,0.39,0.7,-747.0,0.28,0.358,0.485,37.284,-9.529,34.98,0.8,0.38,0.8,-747.0,5.309,91261.671,873.821,5.308,91260.382,873.816,-599.756,0.1,2.42,-71.461,3.815,0.237
5507,2,5507,36,0.25,0.534,0.404,37.784,-9.505,33.943,0.11,0.37,0.8,-747.0,0.35,0.480,0.391,37.664,-9.719,33.893,0.9,0.34,0.9,-747.0,5.308,91262.125,873.821,5.303,91258.125,873.925,-614.18,0.0,2.0,-72.311,3.815,0.248
5546,2,5546,39,0.24,0.508,0.416,37.784,-9.476,34.7,0.11,0.37,0.9,-747.0,0.35,0.545,0.406,37.649,-9.514,33.835,0.11,0.38,0.8,-747.0,5.308,91260.562,873.946,5.312,91259.187,874.333,-630.28,0.3,1.888,-74.494,3.815,0.255
5583,2,5583,37,0.170,0.344,0.403,37.734,-9.488,33.794,0.11,0.40,0.8,-747.0,0.954,0.287,0.334,37.971,-9.602,33.323,0.8,0.53,0.3,-747.0,5.306,91260.328,873.985,5.303,91261.437,873.925,-645.190,0.1,1.963,-72.903,3.815,0.247
5619,2,5619,36,0.341,0.400,0.387,37.629,-9.567,33.718,0.6,0.46,0.5,-747.0,0.854,0.904,0.320,37.576,-9.470,33.440,0.72,0.67,0.56,-747.0,5.308,91259.664,873.944,5.312,91259.187,873.721,-659.426,0.1,2.42,-71.340,3.809,0.237
5658,2,5658,39,0.305,0.805,0.387,37.693,-9.520,33.709,0.9,0.59,0.11,-747.0,0.208,-2.383,0.485,37.605,-9.295,34.54,0.3,0.105,0.90,-747.0,5.309,91260.85,873.908,5.317,91262.500,873.636,-674.540,0.0,2.37,-71.482,3.809,0.237
5706,2,5706,48,0.844,0.371,0.450,37.600,-9.491,33.764,0.13,0.54,0.71,-747.0,2.656,1.686,0.707,37.196,-9.573,34.171,0.12,0.6,0.312,-747.0,5.312,91259.875,873.867,5.317,91257.70,873.721,-694.659,0.0,2.42,-71.419,3.809,0.276
5748,2,5748,42,0.847,0.519,0.529,37.567,-9.450,33.724,0.35,0.3,0.288,-747.0,0.21,-1.284,0.801,37.489,-9.310,33.630,0.94,0.216,1.93,-747.0,5.311,91259.664,873.745,5.308,91258.125,873.721,-715.247,0.2,2.139,-69.670,3.809,0.324
5784,2,5784,36,0.417,0.727,0.567,37.784,-9.6,33.779,0.24,0.30,0.496,-747.0,-1.191,0.753,0.521,39.52,-7.380,33.601,0.62,0.114,1.42,-747.0,5.312,91258.789,873.846,5.308,91257.70,874.429,-734.987,0.2,1.908,-74.184,3.815,0.347
5823,2,5823,39,0.613,0.304,0.691,38.193,-8.573,33.767,0.9,0.27,0.709,-747.0,-4.299,1.213,0.944,39.622,-7.307,33.382,0.96,0.81,1.8,-747.0,5.311,91258.578,873.846,5.308,91258.125,873.721,-759.536,0.0,2.0,-72.292,3.809,0.424
5860,2,5860,37,0.613,0.54,0.523,38.681,-8.0,33.759,0.57,0.96,1.34,-747.0,0.208,-1.134,0.354,40.46,-6.430,34.10,0.234,0.724,1.713,-747.0,5.310,91259.23,873.805,5.312,91264.757,873.432,-782.29,0.1,2.42,-71.483,3.815,0.321
5899,2,5899,39,-1.66,0.870,0.41,39.26,-7.360,33.718,0.22,0.121,1.291,-747.0,0.387,-2.390,1.704,38.921,-6.372,33.966,0.184,0.129,1.601,-747.0,5.311,91260.328,873.788,5.321,91263.562,873.636,-793.56,0.0,2.17,-72.4,3.815,0.25
5936,2,5936,37,0.620,0.590,0.21,39.552,-6.267,33.884,0.52,0.107,1.827,-747.0,2.210,0.114,0.700,40.119,-3.843,34.463,0.473,0.283,3.769,-747.0,5.315,91260.960,873.812,5.326,91261.304,873.841,-794.221,0.0,1.976,-72.801,3.815,0.13
5973,2,5973,37,0.409,0.498,0.325,40.23,-4.878,33.972,0.66,0.110,2.139,-747.0,0.136,0.294,-2.42,41.406,0.438,34.39,0.7,0.98,2.603,-747.0,5.319,91262.710,873.694,5.326,91265.812,873.841,-800.645,0.3,2.133,-69.839,3.757,0.199
6202,2,6202,229,0.564,0.469,0.357,40.441,-2.130,34.127,0.135,0.77,2.362,-747.0,0.567,1.356,-1.102,41.712,6.430,34.156,0.246,0.85,2.123,-747.0,5.324,91262.898,873.720,5.335,91259.70,873.851,-878.872,0.0,1.974,-72.931,3.776,0.219
6785,2,6785,583,0.759,0.272,0.469,40.727,1.584,34.92,0.190,0.22,2.25,-747.0,0.768,0.150,0.205,41.479,12.145,33.835,0.40,0.224,0.29,-747.0,5.312,91263.625,873.775,5.252,91268.359,873.706,-1119.875,0.0,1.948,-73.420,3.776,0.287
7680,2,7680,895,0.766,0.139,0.894,40.999,5.223,34.83,0.150,0.40,1.706,-747.0,0.423,0.330,0.420,40.280,11.824,33.922,0.14,0.40,0.7,-747.0,5.293,91263.257,873.729,5.224,91261.726,873.407,-1730.140,0.0,2.48,-71.436,3.789,0.548
7722,2,7722,42,0.331,0.99,0.823,41.119,8.424,33.975,0.59,0.24,0.954,-747.0,0.35,0.86,0.348,40.719,12.160,33.922,0.16,0.41,0.7,-747.0,5.273,91263.265,873.751,5.229,91261.328,873.947,-1766.225,0.0,1.979,-72.795,3.789,0.505
7761,2,7761,39,0.419,0.28,0.483,41.75,10.950,33.984,0.49,0.58,0.439,-747.0,0.301,0.933,0.341,41.186,12.189,34.83,0.42,0.72,0.30,-747.0,5.260,91262.296,873.695,5.261,91261.54,873.563,-1791.726,0.1,2.58,-71.250,3.796,0.296
7797,2,7797,36,0.379,0.377,0.331,41.142,11.999,33.954,0.15,0.86,0.16,-747.0,0.366,0.387,0.341,42.49,11.677,34.10,0.76,0.56,0.5,-747.0,5.246,91263.546,873.618,5.266,91265.296,873.467,-1806.401,0.2,2.83,-70.849,3.802,0.203
7834,2,7834,37,0.312,0.357,0.386,41.110,11.914,33.925,0.39,0.50,0.6,-747.0,0.437,0.50,0.477,41.318,11.721,33.688,0.81,0.42,0.18,-747.0,5.252,91261.343,873.739,5.280,91257.335,874.309,-1819.678,0.3,1.892,-74.606,3.809,0.236
7873,2,7873,39,0.307,0.298,0.391,41.242,11.850,33.975,0.49,0.49,0.6,-747.0,0.394,0.35,0.449,40.938,11.502,34.171,0.66,0.33,0.7,-747.0,5.265,91262.460,873.840,5.289,91267.281,873.913,-1834.848,0.2,1.908,-74.178,3.809,0.240
7910,2,7910,37,0.368,0.366,0.417,41.327,11.613,33.905,0.61,0.49,0.8,-747.0,0.344,0.423,0.477,41.142,10.976,33.572,0.43,0.40,0.19,-747.0,5.278,91263.203,873.792,5.294,91265.23,873.708,-1849.824,0.1,2.50,-71.329,3.809,0.256
7949,2,7949,39,0.393,0.190,0.424,41.338,11.458,33.852,0.53,0.40,0.9,-747.0,0.423,0.57,0.377,41.245,11.414,33.820,0.1,0.27,0.33,-747.0,5.285,91262.609,873.763,5.298,91258.125,873.420,-1866.255,0.0,2.29,-71.771,3.809,0.260
7986,2,7986,37,0.417,0.132,0.430,41.175,11.397,33.861,0.31,0.31,0.31,-747.0,0.488,0.93,0.370,41.230,11.370,34.54,0.32,0.11,0.116,-747.0,5.295,91260.734,873.795,5.312,91255.875,873.624,-1882.81,0.0,1.969,-72.953,3.815,0.264
8025,2,8025,39,0.314,0.305,0.394,41.125,11.391,33.914,0.7,0.34,0.73,-747.0,0.78,0.918,0.298,41.69,11.692,33.952,0.40,0.61,0.192,-747.0,5.300,91261.976,873.759,5.308,91263.562,874.130,-1898.175,0.0,2.37,-71.628,3.815,0.242
8062,2,8062,37,0.127,0.480,-1.165,41.93,11.420,33.770,0.41,0.66,0.82,-747.0,0.538,3.897,-4.304,40.777,11.648,33.455,0.178,0.191,0.50,-747.0,5.305,91261.15,873.764,5.312,91262.500,873.937,-1927.43,0.0,1.995,-72.469,3.912,0.714
8101,2,8101,39,0.491,0.413,0.999,40.982,11.552,33.691,0.40,0.104,0.97,-747.0,2.160,0.760,0.354,40.587,11.634,33.177,0.50,0.230,0.96,-747.0,5.311,91261.171,873.791,5.326,91265.812,873.841,-1969.257,0.0,1.974,-72.872,3.970,0.612
8138,2,8138,37,0.472,0.396,-1.124,40.868,11.596,33.653,0.39,0.96,0.68,-747.0,0.330,0.143,-1.2,40.675,11.634,33.630,0.1,0.11,0.114,-747.0,5.315,91261.578,873.875,5.317,91260.109,873.841,-2008.536,0.2,1.922,-73.859,4.2,0.689
8175,2,8175,37,0.321,0.878,0.852,40.660,11.707,33.548,0.91,0.138,0.39,-747.0,-3.481,-6.467,9.514,40.192,11.926,33.528,0.291,0.220,0.27,-747.0,5.318,91262.867,873.940,5.326,91262.367,873.949,-2013.553,0.1,1.938,-73.448,4.21,0.523
8214,2,8214,39,0.472,0.653,0.637,40.561,11.771,33.460,0.90,0.130,0.4,-747.0,3.890,0.208,-1.375,40.572,12.14,33.513,0.35,0.19,0.19,-747.0,5.322,91262.601,873.781,5.331,91262.226,873.337,-1984.489,0.4,2.188,-68.721,4.34,0.391
8264,2,8264,50,0.689,-1.576,1.428,40.523,11.788,33.414,0.46,0.96,0.18,-747.0,0.545,0.717,0.348,40.587,11.736,33.221,0.44,0.24,0.65,-747.0,5.325,91262.125,873.617,5.326,91260.109,873.119,-1932.835,0.3,2.195,-68.755,4.41,0.876
8303,2,8303,39,0.379,-1.480,1.274,40.461,11.829,33.390,0.60,0.58,0.25,-747.0,0.610,0.279,0.413,40.280,11.838,33.60,0.21,0.40,0.61,-747.0,5.325,91260.984,873.577,5.326,91260.109,873.636,-1880.115,0.1,2.42,-71.711,4.47,0.781
8339,2,8339,36,0.393,-1.537,1.394,40.540,11.902,33.338,0.58,0.65,0.9,-747.0,0.401,0.430,0.406,41.69,11.999,33.367,0.9,0.23,0.32,-747.0,5.326,91260.78,873.538,5.321,91255.601,873.650,-1832.70,0.1,2.39,-71.810,4.47,0.855
8378,2,8378,39,1.132,0.252,0.591,40.762,11.961,33.285,0.9,0.25,0.7,-747.0,0.215,0.43,0.413,41.303,12.218,33.265,0.42,0.19,0.18,-747.0,5.326,91260.54,873.497,5.326,91262.226,873.745,-1816.417,0.1,2.42,-71.790,4.47,0.362
8415,2,8415,37,0.424,0.389,0.393,40.815,11.964,33.256,0.17,0.31,0.7,-747.0,0.351,0.473,0.384,40.836,12.28,33.367,0.76,0.47,0.15,-747.0,5.325,91258.953,873.661,5.326,91256.664,874.153,-1834.634,0.4,1.859,-75.418,4.47,0.241
8452,2,8452,37,0.450,0.443,0.391,40.932,12.54,33.428,0.25,0.30,0.3,-747.0,0.674,0.990,0.341,41.172,12.189,34.83,0.2,0.20,0.43,-747.0,5.327,91258.914,873.747,5.335,91259.976,873.553,-1849.159,0.2,1.920,-74.40,4.54,0.240
8492,2,8492,40,0.413,0.426,0.403,41.72,12.92,33.539,0.15,0.26,0.23,-747.0,0.423,0.193,0.470,40.982,12.28,33.615,0.27,0.22,0.39,-747.0,5.329,91258.890,873.731,5.335,91259.976,873.553,-1865.63,0.0,2.16,-72.73,4.54,0.247
8528,2,8528,36,0.350,0.386,0.410,41.23,12.92,33.618,0.7,0.23,0.21,-747.0,0.86,0.229,0.442,40.821,11.999,33.762,0.49,0.4,0.21,-747.0,5.333,91261.109,873.712,5.340,91266.742,873.553,-1879.712,0.0,2.19,-72.36,4.54,0.251
8568,2,8568,40,0.22,0.245,-2.354,41.52,12.60,33.691,0.0,0.28,0.37,-747.0,-1.421,0.660,-10.133,41.449,12.57,33.630,0.2,0.46,0.97,-747.0,5.335,91260.875,873.714,5.340,91261.31,873.758,-1935.11,0.0,1.997,-72.482,4.54,-1.443
8604,2,8604,36,0.22,0.256,-2.365,41.218,12.16,33.621,0.9,0.33,0.45,-747.0,0.122,0.531,0.442,41.669,11.809,33.16,0.29,0.71,0.25,-747.0,5.337,91261.85,873.738,5.335,91257.718,874.275,-2019.978,0.0,1.976,-72.887,4.60,-1.451
8643,2,8643,39,0.43,0.14,-2.429,41.242,11.935,33.387,0.12,0.54,0.76,-747.0,0.574,0.366,0.657,41.289,11.780,32.914,0.15,0.127,0.200,-747.0,5.337,91261.992,873.760,5.335,91264.484,873.662,-2113.481,0.0,1.978,-72.813,4.60,-1.489
8680,2,8680,37,0.37,0.226,-2.822,41.213,11.794,33.227,0.13,0.61,0.72,-747.0,0.825,0.868,-2.437,40.836,11.327,32.812,0.101,0.59,0.18,-747.0,5.337,91262.890,873.902,5.335,91264.484,874.261,-2210.635,0.3,1.875,-74.824,4.54,-1.731
8718,2,8718,38,0.110,0.134,-2.805,41.122,11.756,33.66,0.38,0.69,0.75,-747.0,0.452,-2.38,0.355,40.368,11.809,32.958,0.72,0.44,0.32,-747.0,5.336,91261.984,873.983,5.335,91262.226,873.962,-2317.562,0.2,1.924,-73.712,4.60,-1.720
8768,2,8768,50,0.519,0.413,0.822,40.988,11.707,32.888,0.14,0.58,0.51,-747.0,0.624,0.732,0.219,40.777,11.809,32.738,0.113,0.11,0.18,-747.0,5.336,91260.453,873.923,5.340,91253.343,873.457,-2408.257,0.1,2.64,-70.949,4.60,0.504
8804,2,8804,36,0.466,0.252,0.808,40.836,11.692,32.885,0.8,0.51,0.44,-747.0,0.143,0.272,0.370,40.909,11.736,33.2,0.3,0.38,0.12,-747.0,5.334,91260.453,873.863,5.326,91257.718,873.974,-2437.611,0.1,2.63,-71.11,4.60,0.495
8844,2,8844,40,0.506,0.475,0.766,40.868,11.765,32.847,0.12,0.40,0.2,-747.0,0.775,0.746,0.449,41.449,12.145,32.724,0.7,0.73,0.9,-747.0,5.334,91259.546,873.983,5.331,91259.976,874.261,-2469.106,0.2,1.892,-74.382,4.60,0.470
8880,2,8880,36,0.422,0.799,0.373,40.909,11.923,32.885,0.14,0.32,0.3,-747.0,0.401,0.753,0.470,41.40,12.116,33.2,0.33,0.14,0.7,-747.0,5.334,91257.742,873.863,5.335,91255.468,873.662,-2489.622,0.3,2.136,-69.623,4.60,0.228
8919,2,8919,39,0.370,0.429,0.406,41.99,11.990,32.914,0.30,0.28,0.10,-747.0,0.193,0.186,0.521,41.318,12.145,33.104,0.8,0.28,0.5,-747.0,5.334,91256.843,873.803,5.335,91257.718,873.662,-2504.820,0.1,2.63,-71.75,4.60,0.249
8956,2,8956,37,0.360,0.419,0.446,41.172,12.87,32.949,0.8,0.41,0.9,-747.0,0.574,0.681,0.420,41.142,12.291,32.914,0.3,0.54,0.11,-747.0,5.333,91258.828,873.866,5.335,91263.289,873.769,-2520.594,0.1,1.941,-73.486,4.60,0.273
8993,2,8993,37,0.476,0.567,0.463,41.227,12.166,32.928,0.11,0.39,0.7,-747.0,0.437,0.466,0.456,41.186,12.130,32.899,0.18,0.24,0.1,-747.0,5.336,91259.921,873.825,5.345,91263.156,873.769,-2537.429,0.1,2.42,-71.466,4.60,0.284
9032,2,9032,39,0.404,0.482,0.446,41.218,12.192,32.844,0.14,0.31,0.7,-747.0,0.416,0.323,0.363,41.406,12.277,32.300,0.8,0.34,0.8,-747.0,5.339,91261.242,873.726,5.345,91266.601,873.769,-2555.175,0.2,2.109,-70.273,4.60,0.273
9069,2,9069,37,0.393,0.472,0.437,41.479,12.244,32.762,0.8,0.37,0.7,-747.0,0.344,0.703,0.427,42.341,12.379,32.592,0.4,0.44,0.10,-747.0,5.341,91262.781,873.669,5.345,91263.156,873.373,-2571.533,0.1,2.61,-71.260,4.60,0.268
9108,2,9108,39,0.427,0.539,0.409,41.528,12.180,32.642,0.9,0.37,0.7,-747.0,0.366,0.524,0.377,41.566,11.824,32.505,0.13,0.30,0.4,-747.0,5.345,91262.757,873.690,5.354,91257.585,873.769,-2588.47,0.0,1.978,-72.884,4.60,0.250
9145,2,9145,37,0.387,0.492,0.440,41.587,12.57,32.513,0.11,0.35,0.7,-747.0,0.373,0.445,0.578,41.435,11.677,32.271,0.12,0.40,0.12,-747.0,5.345,91262.515,873.750,5.335,91262.93,874.70,-2603.767,0.1,1.943,-73.555,4.60,0.270
9185,2,9185,40,0.379,0.502,0.437,41.411,11.958,32.449,0.10,0.37,0.9,-747.0,0.394,0.516,0.442,40.309,11.634,32.578,0.10,0.38,0.10,-747.0,5.343,91262.304,873.669,5.335,91262.93,873.361,-2621.336,0.2,2.88,-70.720,4.60,0.268
9221,2,9221,36,0.386,0.526,0.450,41.245,11.929,32.525,0.10,0.38,0.8,-747.0,0.452,0.445,0.427,40.572,12.130,32.680,0.12,0.36,0.5,-747.0,5.343,91262.70,873.649,5.345,91265.406,873.673,-2637.329,0.0,2.19,-72.99,4.60,0.276
9269,2,9269,48,0.389,0.493,0.447,41.28,11.894,32.516,0.12,0.37,0.8,-747.0,0.358,0.538,0.413,41.259,12.204,32.548,0.13,0.39,0.9,-747.0,5.344,91262.93,873.644,5.349,91263.289,873.349,-2658.895,0.0,2.4,-72.402,4.66,0.274
