millis(),currentState,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude
1187834,21,9.39,1.93,5.22,0.-13,0.1,0.-50,-1.-43,1.90,93474.45,674.55
1187870,21,9.10,3.19,6.46,0.-41,0.-58,0.-7,-1.-37,1.90,93487.38,675.50
1187908,21,8.70,0.21,4.56,0.-52,0.-50,0.5,-1.-37,1.89,93481.99,675.2
1187944,21,6.38,0.8,4.80,0.-34,0.-8,0.5,-1.-43,1.90,93477.70,674.55
1187980,21,6.63,0.73,5.64,0.-32,0.-38,0.4,-1.-43,1.90,93483.3,674.26
1188016,21,7.58,0.-14,4.7,0.-40,0.-10,0.-23,-1.-43,1.89,93469.6,674.74
1188052,21,6.67,0.-8,3.90,0.-27,0.40,0.-32,-1.-37,1.90,93478.79,674.64
1188088,21,7.6,0.42,5.31,0.-6,0.30,0.-28,-1.-43,1.90,93486.28,673.69
1188124,21,8.1,0.44,5.4,0.0,0.46,0.-27,-1.-37,1.91,93483.3,674.74
1188160,21,7.96,0.7,5.20,0.6,0.49,0.-24,-1.-43,1.90,93487.32,675.41
1188198,21,8.91,0.19,5.20,0.10,0.6,0.-13,-1.-43,1.90,93483.3,674.45
1188234,21,8.53,0.77,6.79,0.22,0.8,0.22,-1.-50,1.90,93483.9,674.45
1188270,21,8.44,0.-30,7.81,0.41,0.-43,0.56,-1.-43,1.90,93481.99,674.83
1188306,21,10.89,0.54,5.93,0.25,0.-72,0.27,-1.-50,1.91,93481.99,674.83
1188343,21,7.89,0.-52,5.15,0.13,0.1,0.0,-1.-37,1.90,93476.60,674.45
1188379,21,7.6,0.-42,6.12,0.22,0.-40,0.29,-1.-43,1.90,93481.99,674.74
1188415,21,8.37,0.38,5.23,0.14,0.-71,0.24,-1.-43,1.90,93483.3,674.55
1188453,21,7.22,0.-77,3.90,0.20,0.0,0.18,-1.-43,1.89,93483.3,674.16
1188489,21,6.50,0.-22,5.93,0.35,0.18,0.32,-1.-50,1.90,93480.89,674.35
1188525,21,7.24,0.81,5.96,0.12,0.-10,0.28,-1.-43,1.90,93480.89,675.12
1188561,21,7.48,0.-62,4.14,0.10,0.33,0.22,-1.-43,1.90,93479.84,674.26
1188597,21,6.32,0.-10,6.17,0.24,0.71,0.13,-1.-43,1.89,93473.35,674.55
