millis(),currentState,calculatedFlightTime,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude,orientation.actual.roll,orientation.actual.pitch,orientation.actual.yaw
2647,2,2647,0.-14,10.1,0.-10,0.4,0.28,0.-7,6.25,10.34,92539.47,759.5,0.0,0.0,0.0
2690,2,2690,0.45,10.10,0.-36,0.3,0.18,0.-8,6.31,10.33,92538.40,758.95,0.0,0.0,0.0
2736,2,2736,0.22,9.99,0.-41,0.0,0.-18,0.-11,6.25,10.34,92533.98,759.14,0.0,0.0,0.0
2782,2,2782,0.-11,10.1,0.-35,0.-4,0.-2,0.-13,6.31,10.33,92535.10,758.66,0.0,0.0,0.0
2828,2,2828,0.-27,10.1,0.23,0.-6,0.-2,0.-13,6.31,10.34,92537.28,758.56,0.0,0.0,0.0
2874,2,2874,0.-57,9.95,0.59,0.-5,0.-21,0.-10,6.31,10.34,92540.50,759.5,0.0,0.0,0.0
2920,2,2920,0.-18,9.99,0.51,0.-2,0.-11,0.-9,6.37,10.33,92535.10,758.46,0.0,0.0,0.0
2963,2,2963,0.11,9.96,0.39,0.-1,0.-3,0.-10,6.31,10.34,92537.24,759.14,0.0,0.0,0.0
3009,2,3009,0.14,10.0,0.49,0.0,0.-8,0.-11,6.25,10.34,92535.5,758.86,0.0,0.0,0.0
3056,2,3056,0.-17,10.9,0.74,0.1,0.-7,0.-14,6.31,10.35,92532.86,758.95,0.0,0.0,0.0
3102,2,3102,0.-18,9.99,0.50,0.2,0.33,0.-15,6.37,10.35,92538.35,758.96,0.0,0.0,0.0
3148,2,3148,0.-19,10.5,0.41,0.3,0.39,0.-15,6.31,10.35,92529.61,758.56,0.0,0.0,0.0
3194,2,3194,0.-36,10.4,0.59,0.5,0.-7,0.-15,6.31,10.35,92533.98,759.45,0.0,0.0,0.0
3242,2,3242,0.-90,10.0,0.38,0.5,0.-8,0.-13,6.37,10.35,92535.5,758.37,0.0,0.0,0.0
3288,2,3288,0.-53,10.2,0.51,0.5,0.16,0.-10,6.37,10.35,92536.12,759.34,0.0,0.0,0.0
3334,2,3334,0.-44,9.99,0.39,0.6,0.6,0.-9,6.37,10.35,92538.25,758.76,0.0,0.0,0.0
3380,2,3380,0.-55,9.96,0.28,0.6,0.23,0.-8,6.31,10.35,92540.50,758.67,0.0,0.0,0.0
3426,2,3426,0.-17,10.2,0.48,0.7,0.26,0.-7,6.31,10.35,92540.44,759.5,0.0,0.0,0.0
3472,2,3472,0.-18,9.99,0.32,0.8,0.-17,0.-8,6.37,10.35,92539.37,759.5,0.0,0.0,0.0
3518,2,3518,0.-62,10.10,0.-25,0.8,0.31,0.-8,6.31,10.36,92537.19,758.47,0.0,0.0,0.0
3561,2,3561,0.-11,10.8,0.89,0.6,0.26,0.-8,6.37,10.36,92541.56,758.27,0.0,0.0,0.0
3607,2,3607,0.-18,10.13,0.74,0.9,0.-13,0.-7,6.31,10.35,92539.42,758.76,0.0,0.0,0.0
3653,2,3653,0.-42,9.99,0.59,0.12,0.-44,0.-8,6.31,10.35,92533.93,758.76,0.0,0.0,0.0
3699,2,3699,0.-69,10.1,0.24,0.13,0.-11,0.-7,6.37,10.35,92535.5,758.27,0.0,0.0,0.0
3745,2,3745,0.-18,10.4,0.3,0.13,0.6,0.-5,6.37,10.35,92538.31,758.8,0.0,0.0,0.0
3791,2,3791,0.16,9.98,0.2,0.13,0.-30,0.-7,6.37,10.36,92542.67,758.86,0.0,0.0,0.0
3834,2,3834,0.-34,10.2,0.-43,0.11,0.-47,0.-9,6.31,10.35,92537.24,758.36,0.0,0.0,0.0
3880,2,3880,0.-39,10.1,0.-34,0.8,0.-4,0.-8,6.31,10.35,92540.50,758.95,0.0,0.0,0.0
3926,2,3926,0.-42,10.0,0.-15,0.5,0.-19,0.-8,6.37,10.34,92541.56,759.25,0.0,0.0,0.0
3972,2,3972,0.-59,10.0,0.-25,0.4,0.-50,0.-7,6.31,10.35,92540.50,758.57,0.0,0.0,0.0
4018,2,4018,0.-45,9.99,0.-27,0.2,0.-17,0.-6,6.31,10.34,92539.42,759.34,0.0,0.0,0.0
4065,2,4065,0.-15,10.4,0.0,0.0,0.-29,0.-6,6.37,10.35,92540.50,758.76,0.0,0.0,0.0
4107,2,4107,0.-28,10.1,0.21,0.0,0.-57,0.-6,6.31,10.34,92536.12,759.5,0.0,0.0,0.0
4153,2,4153,0.-14,10.6,0.55,0.1,0.-16,0.-7,6.31,10.34,92537.24,759.15,0.0,0.0,0.0
4199,2,4199,0.6,10.3,0.67,0.4,0.-19,0.-8,6.31,10.35,92540.50,759.5,0.0,0.0,0.0
4245,2,4245,0.-45,10.2,0.23,0.8,0.-47,0.-10,6.31,10.35,92545.98,758.47,0.0,0.0,0.0
4291,2,4291,0.-21,10.2,0.14,0.8,0.-2,0.-9,6.31,10.34,92535.5,758.57,0.0,0.0,0.0
4337,2,4337,0.-41,10.0,0.-10,0.7,0.-5,0.-8,6.43,10.34,92537.24,758.86,0.0,0.0,0.0
4385,2,4385,0.-36,10.1,0.12,0.6,0.-10,0.-8,6.25,10.34,92531.80,758.65,0.0,0.0,0.0
4431,2,4431,0.-37,9.99,0.33,0.8,0.-15,0.-8,6.25,10.34,92528.50,758.85,0.0,0.0,0.0
4477,2,4477,0.-41,9.92,0.-9,0.8,0.-6,0.-7,6.31,10.34,92536.22,759.14,0.0,0.0,0.0
4523,2,4523,0.-6,10.1,0.1,0.7,0.-9,0.-7,6.37,10.34,92536.17,758.76,0.0,0.0,0.0
4569,2,4569,0.-27,9.98,0.7,0.8,0.-8,0.-8,6.37,10.34,92536.22,759.14,0.0,0.0,0.0
4615,2,4615,0.-17,10.5,0.-2,0.8,0.-7,0.-9,6.43,10.34,92539.42,758.85,0.0,0.0,0.0
4661,2,4661,0.-41,10.8,0.-29,0.8,0.-6,0.-9,6.37,10.34,92541.66,758.65,0.0,0.0,0.0
4704,2,4704,0.-13,10.5,0.-19,0.6,0.-8,0.-9,6.31,10.33,92542.78,758.75,0.0,0.0,0.0
4750,2,4750,0.-44,10.1,0.-30,0.5,0.-10,0.-10,6.31,10.34,92532.96,758.75,0.0,0.0,0.0
