millis(),currentState,calculatedFlightTime,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude,orientation.actual.roll,orientation.actual.pitch,orientation.actual.yaw
1094605,2,1094605,0.20,10.4,0.20,0.4,0.-9,0.-8,9.50,11.98,92546.82,757.80,0.0,0.0,0.0
1094651,2,1094651,0.26,10.0,0.20,0.4,0.-9,0.-9,9.37,11.98,92551.21,757.90,0.0,0.0,0.0
1094697,2,1094697,0.21,10.4,0.18,0.4,0.-9,0.-8,9.37,11.99,92544.63,757.21,0.0,0.0,0.0
1094743,2,1094743,0.28,9.99,0.18,0.4,0.-9,0.-8,9.43,11.98,92551.21,757.51,0.0,0.0,0.0
1094789,2,1094789,0.17,9.99,0.23,0.4,0.-9,0.-9,9.43,11.99,92556.66,757.61,0.0,0.0,0.0
1094835,2,1094835,0.27,9.98,0.19,0.4,0.-9,0.-8,9.37,11.98,92550.14,757.40,0.0,0.0,0.0
1094878,2,1094878,0.21,10.7,0.20,0.4,0.-9,0.-9,9.43,11.99,92551.21,757.60,0.0,0.0,0.0
1094924,2,1094924,0.26,9.99,0.19,0.4,0.-9,0.-8,9.43,11.99,92550.14,757.60,0.0,0.0,0.0
1094970,2,1094970,0.22,9.98,0.25,0.4,0.-9,0.-9,9.37,11.98,92554.46,757.31,0.0,0.0,0.0
1095016,2,1095016,0.27,9.99,0.12,0.4,0.-9,0.-9,9.43,11.99,92557.79,757.31,0.0,0.0,0.0
1095062,2,1095062,0.28,10.1,0.18,0.4,0.-9,0.-8,9.50,11.98,92550.8,757.21,0.0,0.0,0.0
1095108,2,1095108,0.23,10.0,0.21,0.4,0.-9,0.-8,9.37,11.98,92556.66,757.31,0.0,0.0,0.0
1095151,2,1095151,0.25,9.99,0.20,0.4,0.-9,0.-9,9.43,11.99,92546.82,757.51,0.0,0.0,0.0
1095197,2,1095197,0.23,10.2,0.17,0.4,0.-9,0.-9,9.37,12.0,92553.40,757.90,0.0,0.0,0.0
1095244,2,1095244,0.26,9.99,0.18,0.4,0.-9,0.-8,9.37,11.99,92551.21,756.92,0.0,0.0,0.0
1095290,2,1095290,0.25,10.0,0.17,0.4,0.-9,0.-8,9.37,11.98,92557.79,757.80,0.0,0.0,0.0
1095336,2,1095336,0.19,10.2,0.22,0.4,0.-9,0.-9,9.43,11.99,92549.1,757.80,0.0,0.0,0.0
1095382,2,1095382,0.22,10.2,0.17,0.4,0.-9,0.-8,9.43,11.98,92550.14,757.89,0.0,0.0,0.0
1095425,2,1095425,0.19,10.4,0.22,0.4,0.-9,0.-9,9.50,11.98,92555.60,757.60,0.0,0.0,0.0
1095471,2,1095471,0.23,10.1,0.17,0.4,0.-9,0.-9,9.43,11.99,92551.21,757.99,0.0,0.0,0.0
1095517,2,1095517,0.16,9.99,0.26,0.4,0.-9,0.-9,9.37,11.99,92547.89,757.11,0.0,0.0,0.0
1095563,2,1095563,0.27,9.96,0.19,0.4,0.-9,0.-9,9.50,11.98,92549.8,758.9,0.0,0.0,0.0
1095609,2,1095609,0.23,9.98,0.20,0.4,0.-9,0.-8,9.43,11.98,92553.40,758.9,0.0,0.0,0.0
1095655,2,1095655,0.21,9.98,0.22,0.4,0.-9,0.-9,9.37,11.98,92551.27,757.31,0.0,0.0,0.0
1095698,2,1095698,0.21,10.3,0.22,0.4,0.-9,0.-9,9.43,11.98,92542.50,757.11,0.0,0.0,0.0
1095744,2,1095744,0.25,10.5,0.20,0.4,0.-9,0.-8,9.43,11.98,92550.8,757.21,0.0,0.0,0.0
1095790,2,1095790,0.30,10.1,0.18,0.4,0.-9,0.-8,9.43,11.98,92554.46,757.51,0.0,0.0,0.0
1095836,2,1095836,0.23,10.0,0.20,0.4,0.-9,0.-8,9.43,11.99,92550.8,757.61,0.0,0.0,0.0
1095882,2,1095882,0.25,9.99,0.15,0.4,0.-9,0.-8,9.37,11.99,92544.63,758.0,0.0,0.0,0.0
1095928,2,1095928,0.20,10.1,0.25,0.4,0.-9,0.-8,9.43,11.99,92547.95,757.70,0.0,0.0,0.0
1095971,2,1095971,0.33,9.99,0.17,0.4,0.-9,0.-8,9.43,11.98,92549.1,757.40,0.0,0.0,0.0
1096017,2,1096017,0.26,10.0,0.20,0.4,0.-9,0.-8,9.43,11.99,92556.66,757.31,0.0,0.0,0.0
1096063,2,1096063,0.21,10.2,0.21,0.4,0.-9,0.-9,9.43,11.98,92550.8,757.70,0.0,0.0,0.0
1096109,2,1096109,0.19,9.99,0.23,0.4,0.-9,0.-9,9.50,11.99,92554.53,757.51,0.0,0.0,0.0
1096155,2,1096155,0.22,10.1,0.20,0.4,0.-9,0.-8,9.43,11.98,92550.8,757.51,0.0,0.0,0.0
1096201,2,1096201,0.20,10.2,0.22,0.4,0.-9,0.-8,9.43,11.97,92552.27,757.60,0.0,0.0,0.0
1096245,2,1096245,0.21,10.2,0.21,0.4,0.-9,0.-8,9.43,11.97,92545.75,757.50,0.0,0.0,0.0
1096291,2,1096291,0.20,10.4,0.19,0.4,0.-9,0.-9,9.43,11.98,92546.82,757.40,0.0,0.0,0.0
1096337,2,1096337,0.31,10.2,0.15,0.4,0.-9,0.-8,9.43,11.98,92557.79,757.70,0.0,0.0,0.0
1096383,2,1096383,0.27,9.98,0.20,0.4,0.-9,0.-8,9.43,11.99,92551.21,757.70,0.0,0.0,0.0
1096429,2,1096429,0.23,9.99,0.21,0.4,0.-9,0.-8,9.50,11.98,92552.34,757.90,0.0,0.0,0.0
1096475,2,1096475,0.21,10.0,0.22,0.4,0.-9,0.-9,9.50,11.98,92555.60,757.70,0.0,0.0,0.0
1096518,2,1096518,0.27,9.99,0.17,0.4,0.-9,0.-9,9.43,11.98,92546.82,757.80,0.0,0.0,0.0
1096564,2,1096564,0.22,10.2,0.16,0.4,0.-9,0.-8,9.43,11.98,92549.1,757.60,0.0,0.0,0.0
1096610,2,1096610,0.22,10.1,0.22,0.4,0.-9,0.-9,9.43,11.98,92546.89,757.51,0.0,0.0,0.0
1096656,2,1096656,0.19,10.0,0.23,0.4,0.-9,0.-8,9.43,11.99,92552.34,757.31,0.0,0.0,0.0
1096702,2,1096702,0.26,9.98,0.12,0.4,0.-9,0.-8,9.43,11.98,92539.17,757.80,0.0,0.0,0.0
1096748,2,1096748,0.22,10.3,0.20,0.4,0.-9,0.-9,9.43,11.97,92552.34,758.19,0.0,0.0,0.0
1096791,2,1096791,0.21,10.0,0.21,0.4,0.-9,0.-9,9.43,11.98,92557.79,757.51,0.0,0.0,0.0
1096837,2,1096837,0.23,10.1,0.20,0.4,0.-9,0.-9,9.43,11.98,92549.1,757.80,0.0,0.0,0.0
1096883,2,1096883,0.23,10.5,0.20,0.4,0.-9,0.-8,9.43,11.99,92549.1,757.11,0.0,0.0,0.0
1096929,2,1096929,0.26,10.0,0.19,0.4,0.-9,0.-8,9.43,11.98,92551.21,757.40,0.0,0.0,0.0
1096975,2,1096975,0.19,10.5,0.22,0.4,0.-9,0.-9,9.43,11.99,92550.14,757.90,0.0,0.0,0.0
1097021,2,1097021,0.33,10.1,0.19,0.4,0.-9,0.-9,9.43,11.99,92551.27,758.9,0.0,0.0,0.0
1097064,2,1097064,0.21,10.0,0.23,0.4,0.-9,0.-9,9.43,11.98,92549.1,757.70,0.0,0.0,0.0
1097110,2,1097110,0.28,10.0,0.15,0.4,0.-9,0.-8,9.37,11.99,92547.95,757.60,0.0,0.0,0.0
1097156,2,1097156,0.26,10.1,0.19,0.4,0.-9,0.-9,9.43,11.98,92550.14,757.51,0.0,0.0,0.0
1097202,2,1097202,0.24,9.99,0.15,0.4,0.-9,0.-9,9.43,11.99,92552.27,757.90,0.0,0.0,0.0
1097249,2,1097249,0.18,10.3,0.22,0.4,0.-9,0.-8,9.43,11.98,92552.27,757.90,0.0,0.0,0.0
1097295,2,1097295,0.27,10.1,0.19,0.4,0.-9,0.-8,9.43,11.99,92549.1,757.80,0.0,0.0,0.0
1097338,2,1097338,0.21,9.97,0.21,0.4,0.-9,0.-9,9.43,11.99,92544.69,757.80,0.0,0.0,0.0
1097384,2,1097384,0.24,10.1,0.15,0.4,0.-9,0.-9,9.43,11.98,92547.95,757.60,0.0,0.0,0.0
1097430,2,1097430,0.22,10.3,0.15,0.4,0.-9,0.-8,9.43,11.99,92547.95,757.99,0.0,0.0,0.0
1097476,2,1097476,0.24,9.97,0.24,0.4,0.-9,0.-8,9.43,11.98,92552.34,757.99,0.0,0.0,0.0
1097522,2,1097522,0.20,10.0,0.21,0.4,0.-9,0.-9,9.50,11.98,92551.21,757.40,0.0,0.0,0.0
1097568,2,1097568,0.28,10.1,0.18,0.4,0.-9,0.-8,9.43,11.99,92554.53,757.60,0.0,0.0,0.0
1097611,2,1097611,0.20,10.0,0.20,0.4,0.-9,0.-9,9.43,11.98,92549.1,757.90,0.0,0.0,0.0
1097657,2,1097657,0.25,9.96,0.22,0.4,0.-9,0.-8,9.43,11.97,92549.1,758.19,0.0,0.0,0.0
1097703,2,1097703,0.23,9.99,0.21,0.4,0.-9,0.-9,9.43,11.98,92550.8,757.61,0.0,0.0,0.0
1097749,2,1097749,0.21,10.0,0.21,0.4,0.-9,0.-9,9.43,11.99,92547.95,756.43,0.0,0.0,0.0
1097795,2,1097795,0.21,10.4,0.22,0.4,0.-9,0.-8,9.43,11.98,92547.95,757.80,0.0,0.0,0.0
1097841,2,1097841,0.24,10.1,0.19,0.4,0.-9,0.-8,9.43,11.99,92554.53,757.80,0.0,0.0,0.0
1097884,2,1097884,0.18,10.6,0.21,0.4,0.-9,0.-8,9.43,11.98,92547.95,757.31,0.0,0.0,0.0
1097930,2,1097930,0.27,9.97,0.19,0.4,0.-9,0.-9,9.43,11.98,92555.60,757.40,0.0,0.0,0.0
1097976,2,1097976,0.26,9.99,0.19,0.4,0.-9,0.-8,9.43,11.99,92546.82,757.99,0.0,0.0,0.0
1098022,2,1098022,0.26,10.1,0.19,0.4,0.-9,0.-8,9.50,11.99,92552.34,758.29,0.0,0.0,0.0
1098068,2,1098068,0.23,10.1,0.20,0.4,0.-9,0.-9,9.43,11.99,92549.1,757.80,0.0,0.0,0.0
1098114,2,1098114,0.27,10.3,0.18,0.4,0.-9,0.-9,9.43,11.98,92552.27,757.70,0.0,0.0,0.0
1098157,2,1098157,0.21,9.99,0.21,0.4,0.-9,0.-9,9.43,11.98,92550.8,758.29,0.0,0.0,0.0
1098203,2,1098203,0.25,10.1,0.18,0.4,0.-9,0.-9,9.37,11.98,92552.34,757.51,0.0,0.0,0.0
1098250,2,1098250,0.25,9.99,0.18,0.4,0.-9,0.-9,9.50,11.98,92550.8,757.41,0.0,0.0,0.0
1098296,2,1098296,0.26,10.3,0.19,0.4,0.-9,0.-8,9.43,11.99,92549.1,757.90,0.0,0.0,0.0
1098342,2,1098342,0.18,10.1,0.23,0.4,0.-9,0.-8,9.43,11.98,92555.60,757.89,0.0,0.0,0.0
1098388,2,1098388,0.23,9.97,0.17,0.4,0.-9,0.-8,9.43,11.99,92547.95,758.19,0.0,0.0,0.0
1098431,2,1098431,0.19,10.1,0.24,0.4,0.-9,0.-9,9.43,11.98,92549.1,757.51,0.0,0.0,0.0
1098477,2,1098477,0.27,9.99,0.18,0.4,0.-9,0.-9,9.43,11.99,92554.53,757.41,0.0,0.0,0.0
1098523,2,1098523,0.21,10.2,0.21,0.4,0.-9,0.-8,9.37,11.98,92553.46,757.70,0.0,0.0,0.0
1098569,2,1098569,0.22,10.3,0.19,0.4,0.-9,0.-8,9.43,11.99,92552.27,757.11,0.0,0.0,0.0
1098615,2,1098615,0.22,10.0,0.21,0.4,0.-9,0.-9,9.43,11.98,92546.82,757.80,0.0,0.0,0.0
1098661,2,1098661,0.21,9.98,0.17,0.4,0.-9,0.-8,9.43,11.99,92549.8,757.60,0.0,0.0,0.0
1098704,2,1098704,0.21,10.4,0.20,0.4,0.-9,0.-9,9.43,11.99,92551.27,757.40,0.0,0.0,0.0
1098750,2,1098750,0.24,10.0,0.20,0.4,0.-9,0.-8,9.37,11.99,92553.40,757.61,0.0,0.0,0.0
1098796,2,1098796,0.24,9.99,0.20,0.4,0.-9,0.-8,9.43,11.98,92556.72,757.90,0.0,0.0,0.0
1098842,2,1098842,0.22,10.1,0.21,0.4,0.-9,0.-9,9.43,11.99,92551.21,757.40,0.0,0.0,0.0
1098888,2,1098888,0.22,9.98,0.19,0.4,0.-9,0.-8,9.43,11.98,92551.21,757.1,0.0,0.0,0.0
1098934,2,1098934,0.20,9.99,0.24,0.4,0.-9,0.-8,9.43,11.98,92550.14,757.21,0.0,0.0,0.0
1098977,2,1098977,0.23,9.99,0.18,0.4,0.-9,0.-8,9.50,11.99,92557.85,757.80,0.0,0.0,0.0
1099023,2,1099023,0.18,9.98,0.27,0.4,0.-9,0.-9,9.50,11.98,92552.34,758.19,0.0,0.0,0.0
1099069,2,1099069,0.23,10.1,0.19,0.4,0.-9,0.-8,9.43,11.97,92550.14,757.31,0.0,0.0,0.0
1099115,2,1099115,0.30,10.0,0.18,0.4,0.-9,0.-8,9.37,11.99,92550.14,757.11,0.0,0.0,0.0
1099161,2,1099161,0.26,10.1,0.17,0.4,0.-9,0.-9,9.43,11.99,92552.34,757.31,0.0,0.0,0.0
1099207,2,1099207,0.22,10.4,0.19,0.4,0.-9,0.-9,9.43,11.98,92551.21,757.40,0.0,0.0,0.0
1099251,2,1099251,0.22,10.3,0.19,0.4,0.-9,0.-9,9.43,11.98,92550.14,757.50,0.0,0.0,0.0
1099297,2,1099297,0.28,9.98,0.18,0.4,0.-9,0.-9,9.37,11.99,92545.69,757.50,0.0,0.0,0.0
1099343,2,1099343,0.22,10.0,0.21,0.4,0.-9,0.-9,9.43,11.98,92549.8,757.51,0.0,0.0,0.0
1099389,2,1099389,0.23,10.2,0.20,0.4,0.-9,0.-9,9.43,11.98,92549.1,757.80,0.0,0.0,0.0
1099435,2,1099435,0.21,10.2,0.21,0.4,0.-9,0.-8,9.37,11.99,92546.82,757.61,0.0,0.0,0.0
1099481,2,1099483,0.22,10.3,0.22,0.4,0.-9,0.-8,9.43,11.98,92550.14,757.89,0.0,0.0,0.0
1099524,2,1099524,0.24,10.1,0.16,0.4,0.-9,0.-8,9.50,11.98,92553.46,757.79,0.0,0.0,0.0
1099570,2,1099570,0.20,10.0,0.24,0.4,0.-9,0.-9,9.37,11.99,92550.14,757.99,0.0,0.0,0.0
1099616,2,1099616,0.22,9.99,0.20,0.4,0.-9,0.-8,9.50,11.98,92547.89,757.60,0.0,0.0,0.0
1099662,2,1099662,0.26,9.98,0.21,0.4,0.-9,0.-8,9.43,11.98,92551.21,757.70,0.0,0.0,0.0
1099708,2,1099708,0.22,10.1,0.16,0.4,0.-9,0.-9,9.43,11.98,92547.95,756.92,0.0,0.0,0.0
1099754,2,1099756,0.24,10.0,0.20,0.4,0.-9,0.-9,9.43,11.97,92556.66,757.50,0.0,0.0,0.0
1099797,2,1099797,0.24,9.94,0.19,0.4,0.-9,0.-9,9.50,11.98,92554.53,757.80,0.0,0.0,0.0
1099843,2,1099843,0.26,9.98,0.19,0.4,0.-9,0.-8,9.37,11.99,92543.50,757.40,0.0,0.0,0.0
1099889,2,1099889,0.19,10.2,0.22,0.4,0.-9,0.-9,9.43,11.98,92551.27,757.40,0.0,0.0,0.0
1099935,2,1099935,0.25,9.96,0.21,0.4,0.-9,0.-9,9.43,11.99,92549.8,757.51,0.0,0.0,0.0
1099981,2,1099981,0.22,10.0,0.21,0.4,0.-9,0.-8,9.37,11.98,92544.69,757.61,0.0,0.0,0.0
1100027,2,1100029,0.27,9.99,0.16,0.4,0.-9,0.-8,9.43,11.98,92551.27,757.50,0.0,0.0,0.0
1100070,2,1100070,0.19,10.3,0.20,0.4,0.-9,0.-8,9.43,11.98,92556.72,758.9,0.0,0.0,0.0
1100116,2,1100116,0.26,9.97,0.18,0.4,0.-9,0.-9,9.37,11.99,92549.8,757.60,0.0,0.0,0.0
1100162,2,1100162,0.24,9.99,0.20,0.4,0.-9,0.-8,9.43,11.98,92554.46,757.21,0.0,0.0,0.0
1100208,2,1100208,0.24,9.98,0.18,0.4,0.-9,0.-8,9.43,11.98,92547.95,757.80,0.0,0.0,0.0
1100255,2,1100255,0.25,10.0,0.19,0.4,0.-9,0.-9,9.43,11.98,92549.1,757.21,0.0,0.0,0.0
1100301,2,1100303,0.22,10.2,0.21,0.4,0.-9,0.-8,9.37,11.98,92543.56,758.9,0.0,0.0,0.0
1100344,2,1100344,0.27,9.98,0.18,0.4,0.-9,0.-9,9.43,11.97,92550.14,757.61,0.0,0.0,0.0
1100390,2,1100390,0.22,10.0,0.19,0.4,0.-9,0.-8,9.37,11.98,92554.53,757.70,0.0,0.0,0.0
1100436,2,1100436,0.15,10.2,0.25,0.4,0.-9,0.-9,9.37,11.98,92547.95,757.51,0.0,0.0,0.0
1100482,2,1100482,0.25,9.96,0.21,0.4,0.-9,0.-9,9.43,11.99,92549.1,757.51,0.0,0.0,0.0
1100528,2,1100528,0.21,10.0,0.22,0.4,0.-9,0.-8,9.43,11.99,92556.66,757.51,0.0,0.0,0.0
1100576,2,1100576,0.26,9.97,0.19,0.4,0.-9,0.-8,9.37,11.99,92550.14,757.51,0.0,0.0,0.0
1100622,2,1100622,0.22,10.3,0.22,0.4,0.-9,0.-8,9.37,11.98,92547.89,757.11,0.0,0.0,0.0
1100668,2,1100668,0.23,10.1,0.21,0.4,0.-9,0.-9,9.43,11.98,92551.21,758.0,0.0,0.0,0.0
1100714,2,1100714,0.27,9.99,0.17,0.4,0.-9,0.-9,9.43,11.98,92550.14,757.50,0.0,0.0,0.0
1100760,2,1100760,0.23,10.2,0.21,0.4,0.-9,0.-8,9.43,11.98,92547.89,756.92,0.0,0.0,0.0
1100806,2,1100806,0.27,9.99,0.19,0.4,0.-9,0.-8,9.43,12.0,92555.60,757.99,0.0,0.0,0.0
1100854,2,1100854,0.23,10.1,0.18,0.4,0.-9,0.-9,9.37,11.99,92547.95,758.29,0.0,0.0,0.0
1100900,2,1100900,0.21,9.96,0.27,0.4,0.-9,0.-9,9.37,11.99,92554.46,757.51,0.0,0.0,0.0
1100946,2,1100946,0.24,10.0,0.15,0.4,0.-9,0.-9,9.43,11.98,92556.66,757.90,0.0,0.0,0.0
1100992,2,1100992,0.25,9.99,0.20,0.4,0.-9,0.-8,9.37,11.98,92543.56,757.51,0.0,0.0,0.0
1101038,2,1101038,0.18,10.4,0.20,0.4,0.-9,0.-8,9.50,11.98,92549.1,757.80,0.0,0.0,0.0
1101084,2,1101084,0.23,10.1,0.20,0.4,0.-9,0.-9,9.50,11.99,92552.27,758.20,0.0,0.0,0.0
1101132,2,1101132,0.20,10.1,0.21,0.4,0.-9,0.-8,9.43,11.98,92554.46,757.70,0.0,0.0,0.0
1101178,2,1101178,0.19,9.98,0.24,0.4,0.-9,0.-9,9.43,11.98,92546.82,757.50,0.0,0.0,0.0
1101224,2,1101224,0.24,10.0,0.11,0.4,0.-9,0.-8,9.37,11.99,92550.8,757.51,0.0,0.0,0.0
1101271,2,1101271,0.23,9.99,0.21,0.4,0.-9,0.-9,9.43,11.98,92551.21,757.61,0.0,0.0,0.0
1101317,2,1101317,0.20,9.99,0.24,0.4,0.-9,0.-8,9.43,11.98,92545.75,757.51,0.0,0.0,0.0
1101363,2,1101363,0.24,9.99,0.14,0.4,0.-9,0.-8,9.43,11.98,92550.14,757.70,0.0,0.0,0.0
1101411,2,1101411,0.23,10.3,0.20,0.4,0.-9,0.-8,9.43,11.98,92549.1,757.51,0.0,0.0,0.0
1101457,2,1101457,0.25,9.97,0.19,0.4,0.-9,0.-8,9.43,11.98,92541.37,757.80,0.0,0.0,0.0
1101503,2,1101503,0.16,10.3,0.22,0.4,0.-9,0.-9,9.43,11.99,92549.1,757.60,0.0,0.0,0.0
1101549,2,1101549,0.27,9.98,0.18,0.4,0.-9,0.-8,9.43,11.99,92547.95,757.40,0.0,0.0,0.0
1101595,2,1101595,0.18,10.3,0.21,0.4,0.-9,0.-8,9.43,11.99,92544.63,757.90,0.0,0.0,0.0
1101641,2,1101641,0.29,9.98,0.16,0.4,0.-9,0.-8,9.50,11.98,92549.1,758.49,0.0,0.0,0.0
1101689,2,1101689,0.24,10.2,0.21,0.4,0.-9,0.-9,9.50,11.98,92546.82,757.80,0.0,0.0,0.0
1101735,2,1101735,0.24,10.0,0.19,0.4,0.-9,0.-9,9.50,11.98,92550.14,757.21,0.0,0.0,0.0
1101781,2,1101781,0.20,10.1,0.22,0.4,0.-9,0.-8,9.43,11.99,92544.69,758.29,0.0,0.0,0.0
1101827,2,1101827,0.25,10.2,0.17,0.4,0.-9,0.-8,9.43,11.98,92545.75,757.99,0.0,0.0,0.0
1101873,2,1101873,0.22,9.98,0.21,0.4,0.-9,0.-9,9.50,11.98,92547.89,757.70,0.0,0.0,0.0
1101919,2,1101919,0.26,9.97,0.22,0.4,0.-9,0.-9,9.43,11.98,92553.40,758.9,0.0,0.0,0.0
1101967,2,1101967,0.22,10.1,0.18,0.4,0.-9,0.-8,9.43,11.98,92542.50,757.80,0.0,0.0,0.0
1102013,2,1102013,0.22,10.2,0.20,0.4,0.-9,0.-8,9.43,11.98,92545.75,757.60,0.0,0.0,0.0
1102059,2,1102059,0.25,9.97,0.19,0.4,0.-9,0.-9,9.37,11.98,92543.56,757.70,0.0,0.0,0.0
1102105,2,1102105,0.21,10.3,0.22,0.4,0.-9,0.-9,9.37,11.98,92544.63,757.90,0.0,0.0,0.0
1102151,2,1102151,0.24,9.99,0.19,0.4,0.-9,0.-9,9.43,11.98,92546.82,757.51,0.0,0.0,0.0
1102197,2,1102197,0.27,9.99,0.18,0.4,0.-9,0.-8,9.43,11.98,92547.89,757.70,0.0,0.0,0.0
1102245,2,1102245,0.22,10.1,0.22,0.4,0.-9,0.-8,9.43,11.98,92547.95,757.60,0.0,0.0,0.0
1102292,2,1102292,0.27,9.99,0.19,0.4,0.-9,0.-9,9.37,11.98,92547.95,758.18,0.0,0.0,0.0
1102338,2,1102338,0.24,10.0,0.17,0.4,0.-9,0.-8,9.37,11.98,92551.21,757.80,0.0,0.0,0.0
1102384,2,1102384,0.21,9.99,0.22,0.4,0.-9,0.-8,9.50,11.98,92547.95,757.21,0.0,0.0,0.0
1102430,2,1102430,0.14,10.0,0.23,0.4,0.-9,0.-9,9.43,11.98,92544.63,757.31,0.0,0.0,0.0
1102476,2,1102476,0.22,10.0,0.22,0.4,0.-9,0.-9,9.43,11.98,92551.21,757.80,0.0,0.0,0.0
1102709,2,1102709,0.19,10.1,0.22,0.4,0.-9,0.-9,9.43,11.88,92556.31,757.54,0.0,0.0,0.0
1102755,2,1102755,0.22,10.2,0.20,0.4,0.-9,0.-8,9.37,11.90,92553.85,757.86,0.0,0.0,0.0
1102801,2,1102801,0.21,10.3,0.19,0.4,0.-9,0.-9,9.43,11.93,92549.34,757.48,0.0,0.0,0.0
1102847,2,1102847,0.24,9.97,0.19,0.4,0.-9,0.-9,9.43,11.95,92552.53,757.48,0.0,0.0,0.0
1102893,2,1102893,0.26,10.2,0.20,0.4,0.-9,0.-8,9.43,11.96,92545.89,758.8,0.0,0.0,0.0
1102939,2,1102939,0.26,10.0,0.16,0.4,0.-9,0.-8,9.37,11.97,92550.21,757.50,0.0,0.0,0.0
1103311,2,1103311,0.23,9.99,0.17,0.4,0.-9,0.-9,9.43,11.85,92541.8,757.24,0.0,0.0,0.0
1103357,2,1103357,0.27,9.95,0.18,0.4,0.-9,0.-9,9.43,11.90,92543.8,757.85,0.0,0.0,0.0
1103403,2,1103403,0.27,10.0,0.16,0.4,0.-9,0.-8,9.37,11.91,92552.73,757.46,0.0,0.0,0.0
1103449,2,1103449,0.22,10.3,0.19,0.4,0.-9,0.-9,9.37,11.94,92543.89,757.77,0.0,0.0,0.0
1103495,2,1103495,0.24,9.97,0.14,0.4,0.-9,0.-9,9.37,11.95,92553.66,757.58,0.0,0.0,0.0
1103541,2,1103541,0.22,10.0,0.19,0.4,0.-9,0.-8,9.43,11.96,92545.89,757.79,0.0,0.0,0.0
1103776,2,1103776,0.31,10.0,0.18,0.4,0.-9,0.-8,9.43,11.87,92548.72,757.63,0.0,0.0,0.0
1103822,2,1103822,0.23,10.3,0.20,0.4,0.-9,0.-9,9.37,11.90,92543.2,758.25,0.0,0.0,0.0
1103868,2,1103868,0.22,10.2,0.20,0.4,0.-9,0.-9,9.43,11.92,92551.60,757.57,0.0,0.0,0.0
1103914,2,1103914,0.22,10.2,0.17,0.4,0.-9,0.-8,9.43,11.94,92551.53,757.18,0.0,0.0,0.0
1103960,2,1103960,0.24,10.0,0.19,0.4,0.-9,0.-8,9.43,11.95,92552.53,758.7,0.0,0.0,0.0
1104006,2,1104006,0.27,9.98,0.20,0.4,0.-9,0.-9,9.37,11.96,92548.8,758.29,0.0,0.0,0.0
1104909,2,1104909,0.28,9.98,0.18,0.4,0.-9,0.-8,9.50,11.83,92552.30,757.51,0.0,0.0,0.0
1104955,2,1104955,0.27,9.99,0.20,0.4,0.-9,0.-8,9.43,11.87,92553.11,757.63,0.0,0.0,0.0
1105001,2,1105001,0.30,9.99,0.19,0.4,0.-9,0.-9,9.43,11.89,92552.85,757.45,0.0,0.0,0.0
1105047,2,1105047,0.15,10.1,0.21,0.4,0.-9,0.-8,9.37,11.92,92547.28,757.76,0.0,0.0,0.0
1105093,2,1105093,0.32,9.98,0.21,0.4,0.-9,0.-8,9.37,11.93,92550.46,757.27,0.0,0.0,0.0
1105139,2,1105139,0.16,10.2,0.21,0.4,0.-9,0.-9,9.43,11.93,92547.8,758.26,0.0,0.0,0.0
1105182,2,1105182,0.26,10.0,0.19,0.4,0.-9,0.-9,9.37,11.94,92552.53,757.29,0.0,0.0,0.0
1105228,2,1105228,0.17,9.98,0.22,0.4,0.-9,0.-9,9.43,11.95,92547.1,757.39,0.0,0.0,0.0
1105274,2,1105274,0.34,10.0,0.18,0.4,0.-9,0.-9,9.37,11.96,92549.14,757.20,0.0,0.0,0.0
1105320,2,1105320,0.13,9.99,0.20,0.4,0.-9,0.-8,9.43,11.96,92549.14,757.88,0.0,0.0,0.0
1105366,2,1105366,0.33,10.0,0.18,0.4,0.-9,0.-9,9.43,11.97,92545.89,757.10,0.0,0.0,0.0
1105412,2,1105412,0.20,10.3,0.27,0.4,0.-9,0.-8,9.43,11.97,92549.8,757.79,0.0,0.0,0.0
1105455,2,1105455,0.37,10.1,0.19,0.4,0.-9,0.-8,9.43,11.97,92553.46,757.30,0.0,0.0,0.0
1105501,2,1105501,0.16,10.2,0.26,0.4,0.-9,0.-8,9.37,11.97,92550.28,757.20,0.0,0.0,0.0
1105547,2,1105547,0.30,9.98,0.18,0.4,0.-9,0.-9,9.37,11.97,92552.40,757.79,0.0,0.0,0.0
1105593,2,1105593,0.18,10.1,0.19,0.4,0.-9,0.-9,9.43,11.97,92554.60,757.20,0.0,0.0,0.0
1105639,2,1105639,0.25,9.99,0.18,0.4,0.-9,0.-9,9.43,11.97,92544.75,758.38,0.0,0.0,0.0
1105685,2,1105685,0.17,10.2,0.20,0.4,0.-9,0.-8,9.37,11.96,92548.8,757.98,0.0,0.0,0.0
1105728,2,1105728,0.27,9.97,0.19,0.4,0.-9,0.-9,9.37,11.97,92545.82,758.28,0.0,0.0,0.0
1105774,2,1105774,0.19,9.98,0.22,0.4,0.-9,0.-9,9.37,11.97,92548.1,757.49,0.0,0.0,0.0
1105820,2,1105820,0.28,10.3,0.17,0.4,0.-9,0.-8,9.43,11.97,92548.1,757.30,0.0,0.0,0.0
