millis(),currentState,Calculated flight time,Time since last log,IMUAcc.acceleration.x,IMUAcc.acceleration.y,IMUAcc.acceleration.z,IMUGyro.gyro.x,IMUGyro.gyro.y,IMUGyro.gyro.z,IMUTher.temperature,BARO.readTemperature,BARO.readPressure,BARO.readAltitude,orientation.actual.roll,orientation.actual.pitch,orientation.actual.yaw
30959,2,30959,46,0.24,10.21,1.54,0.-4,0.-15,0.1,7.93,11.69,90933.2,903.2,0.0,0.0,0.0
31010,2,31010,51,0.50,10.6,0.66,0.2,0.-2,0.-29,8.0,11.69,90940.74,903.32,0.0,0.0,0.0
31056,2,31056,46,0.-51,10.14,0.32,0.-23,0.-3,0.-28,7.93,11.70,90935.31,903.32,0.0,0.0,0.0
31102,2,31102,46,0.27,10.26,0.96,0.8,0.-19,0.2,7.93,11.69,90938.55,903.11,0.0,0.0,0.0
31145,2,31145,43,0.42,9.70,0.24,0.4,0.-15,0.1,8.0,11.69,90937.40,903.31,0.0,0.0,0.0
31191,2,31191,46,0.-3,10.1,1.12,0.7,0.-20,0.-4,8.0,11.69,90932.7,903.72,0.0,0.0,0.0
31237,2,31237,46,0.27,10.7,0.63,0.7,0.-12,0.-6,8.0,11.70,90935.21,903.61,0.0,0.0,0.0
31283,2,31283,46,0.22,9.59,0.94,0.3,0.-19,0.-2,7.93,11.70,90933.2,903.3,0.0,0.0,0.0
31329,2,31329,46,0.14,10.33,0.74,0.1,0.-11,0.-9,8.0,11.70,90930.82,903.3,0.0,0.0,0.0
31375,2,31375,46,0.30,9.66,0.34,0.7,0.-12,0.-9,8.0,11.70,90935.21,903.92,0.0,0.0,0.0
31419,2,31419,44,0.20,10.15,0.89,0.0,0.-17,0.-4,8.0,11.69,90939.60,903.3,0.0,0.0,0.0
31465,2,31465,46,0.2,9.99,1.8,0.6,0.-8,0.-13,8.0,11.69,90932.92,903.32,0.0,0.0,0.0
31527,2,31527,62,0.8,10.6,0.74,0.-1,0.-9,0.-8,8.0,11.68,90933.11,903.91,0.0,0.0,0.0
31573,2,31573,46,0.52,10.23,0.67,0.0,0.-6,0.-9,8.0,11.69,90937.50,904.12,0.0,0.0,0.0
31619,2,31619,46,0.17,9.96,0.68,0.1,0.-10,0.-9,8.0,11.69,90937.40,903.42,0.0,0.0,0.0
31665,2,31665,46,0.-12,9.96,0.82,0.3,0.-10,0.-10,7.93,11.69,90925.49,903.91,0.0,0.0,0.0
31708,2,31708,43,0.69,10.15,0.92,0.2,0.1,0.-6,8.0,11.69,90935.21,903.32,0.0,0.0,0.0
31754,2,31754,46,0.7,9.85,0.85,0.1,0.-4,0.-12,8.0,11.70,90929.68,903.43,0.0,0.0,0.0
31800,2,31800,46,0.29,9.82,0.33,0.0,0.-5,0.-12,8.6,11.69,90939.50,903.3,0.0,0.0,0.0
31846,2,31846,46,0.40,10.34,1.22,0.2,0.-11,0.-12,8.0,11.70,90931.78,903.33,0.0,0.0,0.0
31892,2,31892,46,0.34,9.68,0.15,0.21,0.-17,0.-6,8.0,11.70,90937.31,903.52,0.0,0.0,0.0
31938,2,31938,46,0.34,10.1,1.21,0.3,0.-8,0.-9,8.0,11.70,90939.60,903.42,0.0,0.0,0.0
31981,2,31981,43,0.13,9.95,0.69,0.7,0.-6,0.-9,8.0,11.70,90933.2,902.63,0.0,0.0,0.0
32046,2,32046,65,0.2,10.4,0.82,0.0,0.-11,0.-9,8.0,11.68,90938.55,903.91,0.0,0.0,0.0
32092,2,32092,46,0.36,10.10,0.75,0.4,0.-15,0.-12,8.0,11.69,90937.40,903.22,0.0,0.0,0.0
32138,2,32138,46,0.12,9.90,0.85,0.5,0.-12,0.-11,8.0,11.70,90933.11,903.61,0.0,0.0,0.0
32184,2,32184,46,0.-14,9.87,0.55,0.5,0.-13,0.-7,8.0,11.70,90931.88,903.22,0.0,0.0,0.0
32230,2,32230,46,0.47,10.18,1.2,0.3,0.-7,0.-6,7.93,11.70,90940.64,903.61,0.0,0.0,0.0
32273,2,32273,43,0.6,9.93,0.75,0.6,0.-11,0.-11,8.0,11.69,90931.97,903.53,0.0,0.0,0.0
32319,2,32319,46,0.10,10.4,0.76,0.5,0.-14,0.-10,8.0,11.70,90938.45,903.33,0.0,0.0,0.0
32365,2,32365,46,0.43,9.78,0.87,0.6,0.-11,0.-7,7.93,11.71,90931.88,903.42,0.0,0.0,0.0
32411,2,32411,46,0.37,10.15,0.54,0.0,0.-8,0.-8,8.0,11.71,90937.21,903.43,0.0,0.0,0.0
32457,2,32457,46,0.-23,9.93,1.29,0.3,0.-16,0.-13,8.0,11.71,90929.59,903.13,0.0,0.0,0.0
32503,2,32503,46,0.19,9.89,0.46,0.8,0.-8,0.-7,8.6,11.70,90934.7,902.83,0.0,0.0,0.0
32551,2,32551,48,0.84,10.4,0.95,0.1,0.-13,0.-11,8.0,11.70,90938.45,903.33,0.0,0.0,0.0
32597,2,32597,46,0.-25,9.85,1.0,0.10,0.-11,0.-9,8.0,11.70,90932.92,903.52,0.0,0.0,0.0
32643,2,32643,46,0.67,9.96,0.46,0.3,0.-10,0.-8,8.0,11.71,90938.45,903.53,0.0,0.0,0.0
32689,2,32689,46,0.20,9.96,1.0,0.5,0.-15,0.-16,8.0,11.71,90938.45,903.83,0.0,0.0,0.0
32736,2,32736,47,0.2,9.85,0.68,0.3,0.-9,0.-8,8.0,11.70,90933.97,902.94,0.0,0.0,0.0
32782,2,32782,46,0.20,10.15,1.15,0.7,0.-12,0.-11,8.0,11.70,90934.7,903.42,0.0,0.0,0.0
32825,2,32825,43,0.34,9.97,0.37,0.4,0.-8,0.-8,8.0,11.70,90936.17,903.93,0.0,0.0,0.0
32871,2,32871,46,0.27,10.10,0.95,0.2,0.-13,0.-11,8.0,11.71,90932.92,903.53,0.0,0.0,0.0
32917,2,32917,46,0.4,9.95,0.86,0.4,0.-9,0.-9,7.93,11.71,90937.21,902.94,0.0,0.0,0.0
32963,2,32963,46,0.26,9.86,0.86,0.5,0.-8,0.-8,8.0,11.71,90937.12,903.34,0.0,0.0,0.0
33009,2,33009,46,0.29,10.4,0.74,0.4,0.-8,0.-8,8.0,11.71,90929.59,903.64,0.0,0.0,0.0
33060,2,33060,51,0.7,10.4,0.87,0.5,0.-10,0.-10,8.6,11.70,90936.26,903.62,0.0,0.0,0.0
33103,2,33103,43,0.19,9.99,0.79,0.3,0.-9,0.-9,8.0,11.70,90926.35,903.53,0.0,0.0,0.0
33149,2,33149,46,0.34,10.1,0.78,0.2,0.-9,0.-8,8.6,11.71,90936.17,903.53,0.0,0.0,0.0
33195,2,33195,46,0.1,9.98,0.78,0.5,0.-13,0.-10,8.6,11.71,90936.17,903.14,0.0,0.0,0.0
33241,2,33241,46,0.46,10.3,0.93,0.2,0.-11,0.-9,8.0,11.71,90935.2,902.55,0.0,0.0,0.0
33287,2,33287,46,0.-9,9.95,0.87,0.4,0.-9,0.-9,8.0,11.72,90933.97,903.53,0.0,0.0,0.0
33333,2,33333,46,0.14,9.97,0.82,0.3,0.-10,0.-9,8.0,11.72,90938.35,903.13,0.0,0.0,0.0
33376,2,33376,43,0.12,10.9,1.9,0.4,0.-10,0.-9,8.0,11.71,90933.97,903.22,0.0,0.0,0.0
33422,2,33422,46,0.17,9.93,0.60,0.6,0.-7,0.-8,8.0,11.71,90929.59,903.43,0.0,0.0,0.0
33468,2,33468,46,0.36,10.7,0.74,0.3,0.-9,0.-9,8.0,11.71,90930.64,903.64,0.0,0.0,0.0
33514,2,33514,46,0.5,9.94,0.81,0.5,0.-10,0.-10,8.0,11.70,90927.39,902.95,0.0,0.0,0.0
33565,2,33565,51,0.29,10.4,0.84,0.3,0.-9,0.-10,8.6,11.71,90928.44,902.94,0.0,0.0,0.0
33611,2,33611,46,0.22,9.99,0.84,0.5,0.-6,0.-8,8.6,11.71,90940.55,903.62,0.0,0.0,0.0
33655,2,33655,44,0.15,10.4,0.86,0.4,0.-8,0.-9,8.0,11.71,90935.2,903.74,0.0,0.0,0.0
33701,2,33701,46,0.36,10.0,0.78,0.5,0.-8,0.-9,8.6,11.72,90932.83,903.54,0.0,0.0,0.0
33748,2,33748,47,0.11,9.99,0.89,0.4,0.-9,0.-9,8.6,11.72,90940.46,904.33,0.0,0.0,0.0
33794,2,33794,46,0.22,10.0,0.87,0.4,0.-8,0.-8,8.6,11.71,90927.39,903.4,0.0,0.0,0.0
33840,2,33840,46,0.10,9.94,0.70,0.4,0.-9,0.-8,8.6,11.72,90937.12,903.14,0.0,0.0,0.0
33886,2,33886,46,0.19,10.2,0.95,0.3,0.-10,0.-9,8.0,11.72,90936.17,903.24,0.0,0.0,0.0
33929,2,33929,43,0.31,10.0,0.81,0.5,0.-9,0.-8,8.0,11.71,90935.2,903.34,0.0,0.0,0.0
33975,2,33975,46,0.19,9.98,0.76,0.4,0.-7,0.-9,8.0,11.72,90934.92,903.43,0.0,0.0,0.0
34021,2,34021,46,0.13,10.1,0.95,0.2,0.-4,0.-9,8.6,11.73,90930.54,903.64,0.0,0.0,0.0
34083,2,34083,62,0.1,9.87,0.63,0.-7,0.-13,0.-11,8.0,11.71,90937.31,903.22,0.0,0.0,0.0
34129,2,34129,46,0.95,10.18,0.25,0.-2,0.-30,0.-10,8.6,11.71,90927.39,903.44,0.0,0.0,0.0
34175,2,34175,46,0.-37,10.40,1.83,0.0,0.-27,0.-22,8.6,11.71,90931.78,903.53,0.0,0.0,0.0
34218,2,34218,43,0.-29,9.61,1.0,0.18,0.-11,0.-14,8.0,11.72,90940.46,903.34,0.0,0.0,0.0
34264,2,34264,46,0.-7,9.85,1.3,0.3,0.-1,0.-5,8.6,11.72,90936.17,903.24,0.0,0.0,0.0
34310,2,34310,46,0.8,9.92,0.72,0.7,0.1,0.-3,8.6,11.71,90933.78,903.44,0.0,0.0,0.0
34356,2,34356,46,0.34,10.17,0.94,0.4,0.-5,0.-5,8.12,11.72,90931.68,903.84,0.0,0.0,0.0
34402,2,34402,46,0.29,9.96,0.83,0.3,0.-10,0.-10,8.6,11.72,90930.64,903.74,0.0,0.0,0.0
34451,2,34451,49,0.4,9.61,0.69,0.0,0.-16,0.-7,8.12,11.72,90931.68,903.55,0.0,0.0,0.0
34497,2,34497,46,0.37,10.52,1.74,0.0,0.-11,0.-9,8.6,11.72,90931.68,903.44,0.0,0.0,0.0
34543,2,34543,46,0.-12,10.0,0.89,0.5,0.-8,0.-11,8.6,11.73,90932.73,903.35,0.0,0.0,0.0
34595,2,34595,52,0.27,10.0,1.14,0.3,0.-3,0.-8,8.0,11.72,90930.64,903.4,0.0,0.0,0.0
34641,2,34641,46,0.15,9.89,0.59,0.5,0.0,0.-6,8.0,11.72,90936.7,903.64,0.0,0.0,0.0
34687,2,34687,46,0.36,9.98,1.5,0.3,0.-4,0.-7,8.6,11.72,90930.54,903.24,0.0,0.0,0.0
34736,2,34736,49,0.8,10.1,1.6,0.6,0.-6,0.-7,8.0,11.72,90937.12,903.35,0.0,0.0,0.0
34783,2,34783,47,0.12,9.82,0.79,0.8,0.-8,0.-9,8.6,11.73,90932.73,903.74,0.0,0.0,0.0
34829,2,34829,46,0.44,10.23,0.89,0.-3,0.-1,0.-6,8.6,11.72,90939.21,903.74,0.0,0.0,0.0
34875,2,34875,46,0.10,9.92,0.92,0.2,0.-8,0.-11,8.6,11.72,90931.59,903.85,0.0,0.0,0.0
34921,2,34921,46,0.26,9.99,0.84,0.3,0.-9,0.-9,8.6,11.73,90937.12,903.45,0.0,0.0,0.0
34967,2,34967,46,0.5,9.93,1.15,0.4,0.-14,0.-10,8.6,11.73,90937.2,903.94,0.0,0.0,0.0
35016,2,35016,49,0.-6,9.90,1.47,0.10,0.-11,0.-8,8.6,11.72,90926.16,902.95,0.0,0.0,0.0
35062,2,35062,46,0.36,10.10,0.38,0.12,0.-7,0.-7,8.6,11.72,90935.97,903.55,0.0,0.0,0.0
35114,2,35114,52,0.14,10.49,1.27,0.0,0.-9,0.-17,8.6,11.73,90935.97,903.64,0.0,0.0,0.0
35160,2,35160,46,0.-7,9.35,1.0,0.18,0.6,0.-7,8.6,11.74,90942.55,902.95,0.0,0.0,0.0
35206,2,35206,46,0.32,10.0,0.44,0.-19,0.8,0.-3,8.6,11.73,90935.97,903.25,0.0,0.0,0.0
35252,2,35252,46,0.44,10.49,1.51,0.-7,0.0,0.-9,8.0,11.73,90932.64,903.15,0.0,0.0,0.0
35301,2,35301,49,0.43,10.12,0.44,0.13,0.-5,0.-13,8.12,11.73,90931.59,903.55,0.0,0.0,0.0
35347,2,35347,46,0.23,10.12,1.32,0.15,0.-18,0.-7,8.12,11.73,90933.78,903.16,0.0,0.0,0.0
35393,2,35393,46,0.-5,9.60,0.98,0.14,0.-24,0.-11,8.12,11.74,90930.44,904.5,0.0,0.0,0.0
35439,2,35439,46,0.-9,9.68,1.9,0.2,0.-14,0.-4,8.6,11.73,90933.78,903.55,0.0,0.0,0.0
35485,2,35485,46,0.39,10.26,0.82,0.-2,0.-5,0.-4,8.12,11.74,90938.7,903.45,0.0,0.0,0.0
35531,2,35531,46,0.47,10.16,0.87,0.9,0.-5,0.-9,8.12,11.73,90934.92,902.77,0.0,0.0,0.0
35574,2,35574,43,0.15,9.72,0.77,0.8,0.-10,0.-9,8.6,11.74,90928.25,903.36,0.0,0.0,0.0
35625,2,35625,51,0.11,9.88,0.82,0.4,0.-5,0.-7,8.18,11.74,90929.39,902.57,0.0,0.0,0.0
35671,2,35671,46,0.41,10.13,0.99,0.-7,0.-4,0.-6,8.12,11.74,90937.2,903.35,0.0,0.0,0.0
35717,2,35717,46,0.27,10.7,1.15,0.2,0.-6,0.-8,8.12,11.75,90933.68,903.6,0.0,0.0,0.0
35763,2,35763,46,0.44,9.93,0.72,0.-4,0.-7,0.-9,8.12,11.73,90933.78,903.36,0.0,0.0,0.0
35810,2,35810,47,0.33,10.5,1.21,0.31,0.-18,0.-11,8.12,11.74,90934.83,903.94,0.0,0.0,0.0
35856,2,35856,46,0.27,9.80,0.94,0.9,0.-14,0.-9,8.6,11.74,90938.7,903.66,0.0,0.0,0.0
35902,2,35902,46,0.4,10.1,1.13,0.7,0.-8,0.-8,8.6,11.74,90932.64,903.35,0.0,0.0,0.0
35948,2,35948,46,0.22,9.96,0.59,0.7,0.-6,0.-8,8.6,11.74,90938.7,903.65,0.0,0.0,0.0
35994,2,35994,46,0.64,10.12,1.8,0.2,0.-14,0.-9,8.12,11.74,90932.64,903.46,0.0,0.0,0.0
36040,2,36040,46,0.42,9.83,0.87,0.16,0.-12,0.-8,8.12,11.74,90932.64,903.35,0.0,0.0,0.0
36086,2,36086,46,0.18,9.82,0.90,0.4,0.-12,0.-10,8.6,11.74,90942.35,902.58,0.0,0.0,0.0
36143,2,36143,57,0.3,9.87,1.10,0.9,0.-9,0.-8,8.6,11.73,90931.59,903.85,0.0,0.0,0.0
36189,2,36189,46,0.57,9.87,0.66,0.3,0.-12,0.-8,8.12,11.73,90939.21,903.26,0.0,0.0,0.0
36235,2,36235,46,0.27,9.98,0.99,0.1,0.-10,0.-10,8.12,11.74,90931.50,903.85,0.0,0.0,0.0
36281,2,36281,46,0.60,10.17,0.79,0.-1,0.-14,0.-9,8.12,11.74,90931.50,903.35,0.0,0.0,0.0
36327,2,36327,46,0.-12,9.94,1.36,0.0,0.-16,0.-12,8.12,11.74,90928.16,903.46,0.0,0.0,0.0
36373,2,36373,46,0.18,9.93,0.92,0.4,0.-6,0.-8,8.6,11.74,90933.68,903.75,0.0,0.0,0.0
36416,2,36416,43,0.43,9.98,0.97,0.3,0.-11,0.-10,8.6,11.73,90930.44,903.74,0.0,0.0,0.0
36462,2,36462,46,0.34,9.97,1.5,0.3,0.-10,0.-9,8.6,11.74,90935.78,904.16,0.0,0.0,0.0
36508,2,36508,46,0.13,9.87,1.11,0.3,0.-12,0.-10,8.12,11.75,90935.88,903.26,0.0,0.0,0.0
36554,2,36554,46,0.25,9.95,0.91,0.5,0.-6,0.-9,8.18,11.75,90933.68,903.76,0.0,0.0,0.0
36600,2,36600,46,0.37,10.3,0.78,0.3,0.-6,0.-9,8.18,11.74,90933.68,903.66,0.0,0.0,0.0
36652,2,36652,52,0.13,9.89,1.11,0.3,0.-9,0.-10,8.12,11.73,90931.59,903.76,0.0,0.0,0.0
36695,2,36695,43,0.14,9.93,1.12,0.6,0.-5,0.-8,8.6,11.74,90930.54,902.96,0.0,0.0,0.0
36741,2,36741,46,0.35,9.98,0.90,0.5,0.-7,0.-7,8.18,11.74,90933.68,903.66,0.0,0.0,0.0
36787,2,36787,46,0.13,9.95,1.8,0.6,0.-8,0.-9,8.18,11.75,90937.97,903.36,0.0,0.0,0.0
36834,2,36834,47,0.45,9.98,0.89,0.5,0.-4,0.-6,8.12,11.75,90937.97,903.86,0.0,0.0,0.0
36880,2,36880,46,0.13,10.3,0.94,0.7,0.-6,0.-10,8.12,11.75,90941.31,903.86,0.0,0.0,0.0
36926,2,36926,46,0.31,10.1,0.90,0.7,0.-4,0.-8,8.18,11.74,90932.64,903.26,0.0,0.0,0.0
36969,2,36969,43,0.30,9.91,0.83,0.5,0.-6,0.-9,8.12,11.74,90933.59,903.6,0.0,0.0,0.0
37015,2,37015,46,0.28,9.95,1.0,0.5,0.-6,0.-9,8.12,11.74,90933.68,903.67,0.0,0.0,0.0
37061,2,37061,46,0.27,10.0,0.97,0.4,0.-10,0.-10,8.12,11.75,90936.92,902.96,0.0,0.0,0.0
37107,2,37107,46,0.18,9.92,0.84,0.6,0.-9,0.-9,8.18,11.75,90935.88,903.6,0.0,0.0,0.0
37158,2,37158,51,0.28,10.2,0.86,0.4,0.-10,0.-9,8.18,11.75,90932.54,903.27,0.0,0.0,0.0
37204,2,37204,46,0.27,10.7,1.4,0.8,0.-7,0.-8,8.18,11.74,90927.10,903.35,0.0,0.0,0.0
37247,2,37247,43,0.26,10.0,0.85,0.8,0.-10,0.-9,8.12,11.75,90931.50,903.16,0.0,0.0,0.0
37293,2,37293,46,0.15,10.0,0.97,0.4,0.-10,0.-8,8.12,11.75,90931.50,903.87,0.0,0.0,0.0
37339,2,37339,46,0.35,9.94,0.84,0.9,0.-7,0.-8,8.12,11.76,90931.50,902.97,0.0,0.0,0.0
37385,2,37385,46,0.40,10.0,0.78,0.5,0.-8,0.-8,8.12,11.75,90929.30,903.76,0.0,0.0,0.0
37431,2,37431,46,0.24,9.94,0.85,0.5,0.-9,0.-8,8.12,11.74,90929.30,903.76,0.0,0.0,0.0
37477,2,37477,46,0.24,10.1,0.82,0.7,0.-9,0.-8,8.18,11.74,90938.7,903.66,0.0,0.0,0.0
37520,2,37520,43,0.31,9.94,0.97,0.5,0.-6,0.-7,8.12,11.76,90931.50,903.67,0.0,0.0,0.0
37566,2,37566,46,0.35,9.92,0.64,0.7,0.-8,0.-8,8.12,11.75,90931.39,902.77,0.0,0.0,0.0
37612,2,37612,46,0.44,10.3,0.76,0.4,0.-9,0.-8,8.25,11.74,90933.59,903.67,0.0,0.0,0.0
37663,2,37663,51,0.40,9.98,0.87,0.4,0.-9,0.-9,8.12,11.75,90936.92,903.76,0.0,0.0,0.0
37709,2,37709,46,0.39,10.4,0.76,0.5,0.-10,0.-9,8.18,11.75,90932.54,903.67,0.0,0.0,0.0
37755,2,37755,46,0.31,9.95,0.84,0.3,0.-10,0.-9,8.12,11.76,90941.21,903.27,0.0,0.0,0.0
37798,2,37798,43,0.43,9.99,0.74,0.4,0.-10,0.-10,8.18,11.74,90936.83,903.76,0.0,0.0,0.0
37845,2,37845,47,0.29,9.97,1.0,0.2,0.-11,0.-10,8.12,11.75,90932.45,903.77,0.0,0.0,0.0
37891,2,37891,46,0.16,9.96,1.4,0.5,0.-9,0.-9,8.18,11.75,90932.54,903.7,0.0,0.0,0.0
37937,2,37937,46,0.38,10.1,0.67,0.6,0.-6,0.-7,8.18,11.75,90937.88,904.26,0.0,0.0,0.0
37983,2,37983,46,0.64,9.86,0.92,0.4,0.-9,0.-8,8.18,11.76,90930.25,902.78,0.0,0.0,0.0
38029,2,38029,46,0.28,9.91,0.80,0.4,0.-12,0.-10,8.12,11.75,90931.39,902.96,0.0,0.0,0.0
38074,2,38074,45,0.26,9.98,0.99,0.2,0.-11,0.-10,8.12,11.75,90932.35,903.8,0.0,0.0,0.0
38120,2,38120,46,0.20,9.98,0.89,0.5,0.-10,0.-9,8.12,11.75,90931.39,903.7,0.0,0.0,0.0
38182,2,38182,62,0.28,9.99,0.74,0.5,0.-9,0.-9,8.12,11.74,90937.97,903.75,0.0,0.0,0.0
38228,2,38228,46,0.35,9.98,0.76,0.4,0.-10,0.-9,8.12,11.76,90932.54,903.27,0.0,0.0,0.0
38274,2,38274,46,0.25,10.3,0.89,0.4,0.-12,0.-10,8.18,11.75,90931.39,904.7,0.0,0.0,0.0
38320,2,38320,46,0.31,9.95,0.83,0.5,0.-10,0.-9,8.6,11.74,90933.68,904.16,0.0,0.0,0.0
38363,2,38363,43,0.27,10.6,0.68,0.4,0.-10,0.-9,8.12,11.76,90935.78,902.97,0.0,0.0,0.0
38409,2,38409,46,0.30,10.4,1.2,0.3,0.-10,0.-9,8.18,11.75,90928.16,903.67,0.0,0.0,0.0
38455,2,38455,46,0.29,9.99,0.88,0.5,0.-8,0.-9,8.12,11.75,90933.50,903.47,0.0,0.0,0.0
38501,2,38501,46,0.33,10.2,0.72,0.4,0.-10,0.-9,8.12,11.76,90935.68,903.28,0.0,0.0,0.0
38547,2,38547,46,0.11,10.5,0.87,0.4,0.-10,0.-10,8.25,11.76,90927.96,903.28,0.0,0.0,0.0
38596,2,38596,49,0.34,9.96,0.83,0.6,0.-8,0.-8,8.12,11.76,90935.68,903.78,0.0,0.0,0.0
38642,2,38642,46,0.41,9.94,0.74,0.3,0.-10,0.-8,8.12,11.76,90931.30,903.48,0.0,0.0,0.0
38694,2,38694,52,0.31,9.93,0.94,0.5,0.-10,0.-10,8.18,11.76,90926.92,903.8,0.0,0.0,0.0
38740,2,38740,46,0.37,10.0,0.79,0.4,0.-9,0.-9,8.12,11.75,90936.83,903.28,0.0,0.0,0.0
38786,2,38786,46,0.37,9.99,0.77,0.4,0.-9,0.-9,8.12,11.76,90932.35,903.68,0.0,0.0,0.0
38832,2,38832,46,0.30,9.95,0.83,0.5,0.-9,0.-9,8.18,11.76,90930.16,903.88,0.0,0.0,0.0
38882,2,38882,50,0.37,9.96,0.83,0.4,0.-10,0.-10,8.12,11.76,90932.35,903.38,0.0,0.0,0.0
38928,2,38928,46,0.28,10.3,0.86,0.5,0.-10,0.-9,8.18,11.76,90933.50,903.48,0.0,0.0,0.0
38974,2,38974,46,0.36,9.93,0.72,0.4,0.-10,0.-9,8.18,11.76,90937.88,903.29,0.0,0.0,0.0
39020,2,39020,46,0.31,10.1,0.89,0.4,0.-9,0.-9,8.12,11.76,90932.35,902.79,0.0,0.0,0.0
39066,2,39066,46,0.40,10.0,0.74,0.4,0.-8,0.-9,8.12,11.77,90934.54,903.28,0.0,0.0,0.0
39112,2,39112,46,0.24,10.1,0.77,0.4,0.-10,0.-10,8.12,11.76,90933.50,903.68,0.0,0.0,0.0
39161,2,39161,49,0.32,10.4,0.84,0.4,0.-9,0.-9,8.18,11.76,90937.78,903.68,0.0,0.0,0.0
39212,2,39212,51,0.39,9.94,0.76,0.5,0.-10,0.-9,8.18,11.75,90926.92,903.8,0.0,0.0,0.0
39258,2,39258,46,0.27,9.98,0.84,0.4,0.-10,0.-9,8.12,11.76,90936.73,902.79,0.0,0.0,0.0
39304,2,39304,46,0.32,9.93,0.75,0.4,0.-10,0.-9,8.18,11.76,90932.35,903.68,0.0,0.0,0.0
39350,2,39350,46,0.28,10.4,0.82,0.4,0.-10,0.-9,8.18,11.76,90934.54,903.48,0.0,0.0,0.0
39396,2,39396,46,0.23,10.5,0.97,0.3,0.-10,0.-9,8.18,11.76,90930.16,903.29,0.0,0.0,0.0
39452,2,39452,56,0.36,9.97,0.85,0.5,0.-10,0.-9,8.12,11.76,90942.26,903.57,0.0,0.0,0.0
39498,2,39498,46,0.32,10.1,0.78,0.5,0.-10,0.-9,8.18,11.76,90933.39,903.59,0.0,0.0,0.0
39544,2,39544,46,0.31,9.98,0.80,0.5,0.-8,0.-9,8.18,11.76,90934.45,903.58,0.0,0.0,0.0
39590,2,39590,46,0.40,9.96,0.72,0.5,0.-9,0.-9,8.18,11.76,90933.50,903.38,0.0,0.0,0.0
39636,2,39636,46,0.25,10.0,0.84,0.4,0.-12,0.-10,8.12,11.76,90936.64,903.19,0.0,0.0,0.0
39682,2,39682,46,0.31,9.95,0.89,0.4,0.-8,0.-9,8.12,11.77,90938.74,903.40,0.0,0.0,0.0
39737,2,39737,55,0.40,9.93,0.72,0.5,0.-7,0.-9,8.12,11.77,90937.78,903.19,0.0,0.0,0.0
39783,2,39783,46,0.28,10.0,0.78,0.5,0.-9,0.-9,8.18,11.77,90934.45,903.38,0.0,0.0,0.0
39829,2,39829,46,0.28,9.97,0.79,0.4,0.-9,0.-9,8.12,11.77,90937.78,903.59,0.0,0.0,0.0
39875,2,39875,46,0.36,9.97,0.87,0.5,0.-8,0.-9,8.18,11.77,90937.68,903.19,0.0,0.0,0.0
39922,2,39922,47,0.32,9.97,0.74,0.6,0.-12,0.-9,8.25,11.77,90931.21,902.99,0.0,0.0,0.0
39968,2,39968,46,0.35,10.1,0.77,0.4,0.-8,0.-9,8.12,11.77,90931.21,902.98,0.0,0.0,0.0
40011,2,40011,43,0.29,9.98,0.90,0.4,0.-7,0.-8,8.18,11.76,90934.54,903.48,0.0,0.0,0.0
40057,2,40057,46,0.44,10.2,0.73,0.5,0.-9,0.-10,8.18,11.76,90932.25,903.59,0.0,0.0,0.0
40103,2,40103,46,0.26,9.95,0.97,0.4,0.-10,0.-10,8.12,11.76,90932.25,902.89,0.0,0.0,0.0
40149,2,40149,46,0.33,9.99,0.73,0.5,0.-8,0.-8,8.18,11.77,90935.59,902.99,0.0,0.0,0.0
40195,2,40195,46,0.25,9.97,0.83,0.3,0.-11,0.-10,8.18,11.78,90925.67,903.40,0.0,0.0,0.0
40247,2,40247,52,0.29,10.1,0.80,0.5,0.-9,0.-9,8.12,11.76,90934.64,903.88,0.0,0.0,0.0
40294,2,40294,47,0.39,10.3,0.78,0.4,0.-9,0.-9,8.18,11.76,90933.50,902.98,0.0,0.0,0.0
40340,2,40340,46,0.25,9.99,0.86,0.4,0.-10,0.-9,8.18,11.77,90929.1,903.79,0.0,0.0,0.0
40386,2,40386,46,0.34,9.98,0.81,0.5,0.-8,0.-8,8.18,11.77,90932.35,903.29,0.0,0.0,0.0
40432,2,40432,46,0.41,9.96,0.70,0.4,0.-8,0.-9,8.12,11.77,90932.25,903.29,0.0,0.0,0.0
40478,2,40478,46,0.34,10.3,0.79,0.4,0.-10,0.-10,8.18,11.77,90938.83,903.19,0.0,0.0,0.0
40524,2,40524,46,0.24,10.3,0.78,0.4,0.-10,0.-9,8.25,11.76,90941.2,904.38,0.0,0.0,0.0
40567,2,40567,43,0.28,10.2,0.84,0.5,0.-7,0.-8,8.18,11.76,90931.21,903.99,0.0,0.0,0.0
40613,2,40613,46,0.29,9.94,0.79,0.5,0.-7,0.-9,8.18,11.78,90936.64,903.49,0.0,0.0,0.0
40659,2,40659,46,0.36,9.95,0.83,0.6,0.-9,0.-8,8.18,11.78,90934.45,903.9,0.0,0.0,0.0
40705,2,40705,46,0.36,9.95,0.68,0.5,0.-9,0.-9,8.18,11.78,90937.68,903.79,0.0,0.0,0.0
40765,2,40765,60,0.35,9.98,0.84,0.4,0.-11,0.-9,8.18,11.76,90931.21,903.48,0.0,0.0,0.0
40811,2,40811,46,0.33,9.97,0.77,0.4,0.-12,0.-10,8.18,11.76,90931.21,903.48,0.0,0.0,0.0
