millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,Raw_IMU_accel_X,Raw_IMU_accel_Y,Raw_IMU_accel_Z,Raw_IMU_mag_X,Raw_IMU_mag_Y,Raw_IMU_mag_Z,Raw_IMU_gyro_X,Raw_IMU_gyro_Y,Raw_IMU_gyro_Z,Raw_IMU_temp,BARO_temp,BARO_press,BARO_alt,Raw_BARO_temp,Raw_BARO_press,Raw_BARO_alt,Velocity_lastUpdate,Velocity_lastZAccel,Velocity_lastAlt,Velocity_inte,Velocity_diff,Velocity_est,Est_apogee,Target_air_brake_angle,Air_brake_angle,Air_brake_error,Battery_voltage,Z_accel_times_burnoutMass
4328,2,4328,4328,0.169,0.2,0.318,8.895,-1.815,53.396,0.4,0.28,0.1,-363.0,0.143,0.179,0.384,9.193,-1.753,53.288,0.4,0.28,0.3,-363.0,16.386,92220.640,787.197,16.394,92222.125,787.352,4328,0.318,787.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.191
4377,2,4377,49,0.100,0.179,0.378,9.362,-1.552,53.332,0.4,0.28,0.2,-363.0,0.179,0.157,0.370,9.543,-1.198,53.259,0.5,0.27,0.0,-363.0,16.391,92221.453,787.206,16.398,92224.250,787.66,4377,0.378,787.66,-17090.183,-5.835,2.212,0.0,0.0,0.0,0.0,4.41,0.228
4419,2,4419,42,0.83,0.145,0.380,9.187,-1.540,53.393,0.4,0.28,0.3,-363.0,0.21,0.129,0.434,8.973,-1.227,53.726,0.3,0.30,0.6,-363.0,16.397,92221.812,787.237,16.412,92224.85,787.999,4419,0.380,787.999,-33035.339,22.210,1.600,0.0,0.0,0.0,0.0,4.41,0.229
4455,2,4455,36,0.80,0.155,0.377,9.134,-1.569,53.449,0.5,0.28,0.3,-363.0,0.57,0.193,0.341,9.456,-1.885,53.478,0.7,0.25,0.3,-363.0,16.402,92219.890,787.268,16.417,92211.414,786.478,4455,0.377,786.478,-46676.773,-42.251,-2.737,0.0,0.0,0.0,0.0,4.47,0.227
4497,2,4497,42,0.132,0.153,0.378,9.362,-1.473,53.507,0.5,0.27,0.4,-363.0,0.258,0.107,0.363,9.646,-1.300,53.785,0.6,0.27,0.8,-363.0,16.409,92220.671,787.321,16.426,92221.468,787.712,4497,0.378,787.712,-62561.632,29.392,1.531,0.0,0.0,0.0,0.0,4.47,0.228
4534,2,4534,37,0.137,0.147,0.384,9.500,-1.502,53.534,0.5,0.27,0.4,-363.0,0.172,0.150,0.413,9.880,-1.900,53.420,0.4,0.28,0.3,-363.0,16.417,92220.296,787.355,16.431,92220.242,787.521,4534,0.384,787.521,-76688.234,-5.163,2.183,0.0,0.0,0.0,0.0,4.60,0.231
4577,2,4577,43,0.140,0.130,0.410,9.383,-1.601,53.577,0.5,0.28,0.4,-363.0,0.193,0.71,0.499,8.959,-1.695,53.478,0.2,0.28,0.1,-363.0,16.423,92219.453,787.364,16.431,92220.78,787.109,4577,0.410,787.109,-93784.726,-9.578,2.403,0.0,0.0,0.0,0.0,4.47,0.247
4613,2,4613,36,0.173,0.126,0.403,9.438,-1.710,53.574,0.5,0.27,0.4,-363.0,0.186,0.107,0.399,9.251,-1.768,53.712,0.8,0.25,0.7,-363.0,16.429,92218.656,787.145,16.440,92220.78,786.903,4613,0.403,786.903,-108434.23,-5.711,2.206,0.0,0.0,0.0,0.0,4.47,0.242
4655,2,4655,42,0.203,0.104,0.403,9.356,-1.651,53.586,0.5,0.28,0.4,-363.0,0.208,0.86,0.341,9.47,-1.593,53.536,0.4,0.31,0.0,-363.0,16.435,92220.179,787.334,16.449,92219.15,787.426,4655,0.403,787.426,-125374.125,12.429,1.728,0.0,0.0,0.0,0.0,4.54,0.242
4691,2,4691,36,0.175,0.117,0.403,9.318,-1.669,53.548,0.5,0.27,0.3,-363.0,0.114,0.172,0.363,9.456,-1.388,53.595,0.5,0.25,0.6,-363.0,16.439,92219.203,787.154,16.444,92216.562,786.809,4691,0.403,786.809,-139894.203,-17.139,3.58,0.0,0.0,0.0,0.0,4.47,0.242
4734,2,4734,43,0.178,0.107,0.383,9.225,-1.634,53.598,0.5,0.27,0.3,-363.0,0.186,0.100,0.312,9.412,-1.724,53.668,0.6,0.27,0.0,-363.0,16.441,92218.734,787.30,16.440,92217.953,786.903,4734,0.383,786.903,-156805.500,2.208,1.937,0.0,0.0,0.0,0.0,4.47,0.230
4770,2,4770,36,0.155,0.120,0.350,9.351,-1.677,53.551,0.6,0.27,0.4,-363.0,0.78,0.136,0.334,9.587,-1.914,53.244,0.5,0.26,0.6,-363.0,16.443,92218.976,787.93,16.444,92221.304,787.426,4770,0.350,787.426,-170007.609,14.500,1.696,0.0,0.0,0.0,0.0,4.47,0.210
4812,2,4812,42,0.152,0.143,0.322,9.207,-1.669,53.574,0.5,0.27,0.4,-363.0,0.172,0.222,0.262,8.535,-1.724,53.829,0.3,0.25,0.7,-363.0,16.444,92219.226,787.198,16.444,92221.304,787.426,4812,0.322,787.426,-184143.796,0.0,2.0,0.0,0.0,0.0,0.0,4.60,0.194
4848,2,4848,36,0.155,0.160,0.327,9.242,-1.639,53.674,0.5,0.25,0.5,-363.0,0.222,0.172,0.363,9.222,-1.446,54.33,0.4,0.23,0.3,-363.0,16.442,92218.101,787.96,16.435,92213.375,786.919,4848,0.327,786.919,-195847.46,-14.80,2.731,0.0,0.0,0.0,0.0,4.47,0.197
4896,2,4896,48,0.149,0.146,0.327,9.380,-1.572,53.659,0.5,0.26,0.4,-363.0,0.86,0.100,0.363,10.143,-1.52,53.522,0.7,0.27,0.3,-363.0,16.440,92217.953,787.236,16.435,92215.828,787.506,4896,0.327,787.506,-211554.750,12.243,1.731,0.0,0.0,0.0,0.0,4.47,0.197
4939,2,4939,43,0.150,0.169,0.353,9.348,-1.446,53.645,0.5,0.25,0.6,-363.0,0.193,0.215,0.442,9.251,-1.96,53.595,0.4,0.24,0.9,-363.0,16.439,92218.414,787.337,16.435,92220.242,787.411,4939,0.353,787.411,-226181.843,-2.221,2.71,0.0,0.0,0.0,0.0,4.54,0.212
4975,2,4975,36,0.172,0.157,0.371,9.356,-1.356,53.671,0.5,0.25,0.5,-363.0,0.186,0.78,0.427,9.631,-1.461,53.376,0.4,0.25,0.3,-363.0,16.437,92218.203,787.312,16.435,92220.242,787.301,4975,0.371,787.301,-239228.906,-3.58,2.101,0.0,0.0,0.0,0.0,4.47,0.223
5017,2,5017,42,0.163,0.155,0.387,9.473,-1.277,53.621,0.5,0.25,0.4,-363.0,0.129,0.208,0.341,9.120,-1.330,53.580,0.5,0.24,0.4,-363.0,16.435,92217.523,787.348,16.435,92217.953,787.602,5017,0.387,787.602,-255174.62,7.170,1.822,0.0,0.0,0.0,0.0,4.60,0.233
5053,2,5053,36,0.160,0.132,0.396,9.628,-1.157,53.577,0.5,0.27,0.4,-363.0,0.208,0.57,0.406,9.997,0.847,53.814,0.5,0.34,0.2,-363.0,16.434,92217.101,787.427,16.431,92211.250,787.315,5053,0.396,787.315,-269280.656,-7.973,2.314,0.0,0.0,0.0,0.0,4.41,0.238
5096,2,5096,43,0.155,0.153,0.387,9.441,-1.166,53.677,0.5,0.27,0.4,-363.0,0.57,0.208,0.320,9.207,-1.96,54.19,0.6,0.27,0.3,-363.0,16.434,92218.203,787.468,16.435,92221.304,787.712,5096,0.387,787.712,-286130.218,9.237,1.783,0.0,0.0,0.0,0.0,4.47,0.233
5132,2,5132,36,0.155,0.139,0.364,9.511,-1.183,53.680,0.5,0.27,0.4,-363.0,0.193,0.143,0.327,9.602,-1.183,53.610,0.6,0.25,0.7,-363.0,16.433,92218.664,787.487,16.431,92222.531,787.506,5132,0.364,787.506,-299668.281,-5.713,2.206,0.0,0.0,0.0,0.0,4.54,0.219
5174,2,5174,42,0.225,0.145,0.354,9.456,0.961,53.855,0.6,0.27,0.5,-363.0,-1.715,0.107,0.377,9.353,0.350,54.253,0.6,0.26,0.9,-363.0,16.434,92217.773,787.531,16.440,92215.828,787.521,5174,0.354,787.521,-314769.250,0.348,1.989,0.0,0.0,0.0,0.0,4.54,0.213
5210,2,5210,36,0.218,0.133,0.354,9.508,0.885,54.13,0.5,0.28,0.5,-363.0,0.165,0.150,0.341,9.383,0.950,54.370,0.4,0.26,0.5,-363.0,16.433,92218.15,787.594,16.431,92219.179,787.918,5210,0.354,787.918,-327532.31,11.20,1.751,0.0,0.0,0.0,0.0,4.60,0.213
5253,2,5253,43,0.195,0.156,0.363,9.421,0.923,54.4,0.5,0.26,0.6,-363.0,0.323,0.172,0.449,9.558,-1.37,53.770,0.3,0.25,0.7,-363.0,16.434,92218.445,787.594,16.435,92213.375,787.315,5253,0.363,787.315,-342961.687,-14.21,2.726,0.0,0.0,0.0,0.0,4.47,0.218
5289,2,5289,36,0.196,0.146,0.396,9.368,0.795,53.943,0.6,0.26,0.6,-363.0,0.50,0.157,0.485,8.944,0.453,53.712,0.9,0.28,0.4,-363.0,16.433,92218.906,787.534,16.431,92223.593,787.411,5289,0.396,787.411,-356628.968,2.666,1.925,0.0,0.0,0.0,0.0,4.54,0.238
5331,2,5331,42,0.176,0.126,0.409,9.397,0.610,53.998,0.5,0.27,0.6,-363.0,0.294,0.43,0.391,9.748,0.263,53.887,0.4,0.32,0.5,-363.0,16.435,92218.687,787.395,16.440,92221.468,786.809,5331,0.409,786.809,-373538.906,-14.340,2.755,0.0,0.0,0.0,0.0,4.41,0.246
