millis(),Current_state,Calculated_flight_time,Time_since_last_log,IMU_accel_X,IMU_accel_Y,IMU_accel_Z,IMU_mag_X,IMU_mag_Y,IMU_mag_Z,IMU_gyro_X,IMU_gyro_Y,IMU_gyro_Z,IMU_temp,BARO_temp,BARO_press,BARO_alt,Velocity_inte,Velocity_diff,Velocity_est,lastInte.x,lastInte.y,lastDiff.x,lastDiff.y,Est_apogee,Z_accel_times_burnoutMass
1286,5,1286,1286,0.208,0.466,0.320,34.697,3.800,49.225,0.26,0.36,0.18,-459.0,15.888,90781.828,917.506,0.0,0.0,0.0,1279.0,0.556,1279.0,917.270,-2147483648.2147483647,0.207
1376,5,1376,90,0.193,0.660,0.801,34.770,3.10,48.801,0.22,0.18,0.9,-459.0,15.888,90780.546,917.390,-28.146,0.1,2.193,1370.0,0.61,1370.0,917.108,-78.140,0.520
1460,5,1460,84,0.236,0.646,0.858,34.785,3.536,49.93,0.30,0.34,0.34,-459.0,15.892,90782.609,917.717,-55.333,0.7,1.621,1454.0,0.585,1454.0,917.717,-92.402,0.557
1540,5,1540,80,0.409,0.452,0.499,34.814,3.610,48.976,0.23,0.27,0.18,-459.0,15.892,90779.23,918.462,-98.453,0.7,3.411,1534.0,0.492,1534.0,917.131,-57.984,0.324
1620,5,1620,80,0.258,0.366,0.370,34.390,3.259,48.874,0.16,0.2,0.37,-459.0,15.906,90777.750,917.739,-137.841,0.1,1.914,1614.0,0.492,1614.0,917.225,-84.389,0.240
1706,5,1706,86,0.71,0.646,-1.159,34.346,3.405,48.421,0.17,0.21,0.26,-459.0,15.911,90777.750,917.878,-172.158,0.1,2.103,1700.0,0.305,1700.0,917.131,-80.453,0.753
1786,5,1786,80,0.193,0.552,0.470,33.981,3.361,48.450,0.22,0.38,0.32,-459.0,15.906,90778.773,916.921,-190.872,0.4,1.741,1780.0,0.162,1780.0,917.481,-88.490,0.305
1876,5,1876,90,0.294,0.473,0.521,34.127,3.200,48.582,0.18,0.32,0.38,-459.0,15.892,90773.132,917.131,-217.93,0.5,3.162,1870.0,0.420,1870.0,916.943,-62.615,0.338
1955,5,1955,79,0.258,0.452,0.442,33.893,3.171,48.582,0.23,0.47,0.27,-459.0,15.911,90778.773,917.971,-247.766,0.6,1.660,1949.0,0.355,1949.0,917.458,-90.941,0.287
2035,5,2035,80,0.186,0.445,0.506,34.185,3.171,48.436,0.16,0.20,0.8,-459.0,15.920,90775.187,917.761,-277.678,0.4,1.754,2029.0,0.391,2029.0,917.784,-88.876,0.329
2115,5,2115,80,0.251,0.437,0.413,34.697,3.142,49.400,0.20,0.28,0.26,-427.0,15.916,90777.500,917.667,-311.323,0.6,3.54,2109.0,0.449,2109.0,917.270,-64.11,0.268
2195,5,2195,80,0.150,0.581,0.513,34.317,3.215,48.611,0.19,0.31,0.15,-459.0,15.920,90780.835,917.784,-348.414,0.2,1.826,2189.0,0.477,2189.0,917.481,-87.54,0.333
2275,5,2275,80,0.236,0.509,0.585,34.814,3.595,48.494,0.25,0.28,0.33,-427.0,15.929,90773.664,917.690,-385.792,0.3,2.392,2269.0,0.456,2269.0,917.199,-74.589,0.380
2356,5,2356,81,0.358,0.516,0.477,34.273,3.478,48.772,0.23,0.34,0.47,-459.0,15.925,90779.554,917.481,-424.319,0.11,1.516,2349.0,0.506,2349.0,918.133,-95.3,0.310
2445,5,2445,89,0.136,0.480,0.327,34.799,3.522,48.801,0.17,0.40,0.24,-427.0,15.920,90775.187,917.690,-460.877,0.5,3.59,2439.0,0.305,2439.0,917.619,-62.479,0.212
2525,5,2525,80,0.323,0.430,0.571,33.864,3.332,48.801,0.15,0.21,0.16,-427.0,15.929,90777.250,917.502,-492.512,0.5,1.704,2519.0,0.485,2519.0,918.39,-89.839,0.371
